Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Team
42,Diogo Jota,pt POR,FW,27-112,19,13,1047.0,11.6,9.0,3.0,12.0,9.0,0.0,0.0,3.0,1.0,4.4,4.4,2.9,7.3,48.0,31.0,99.0,0.77,0.26,1.03,0.77,1.03,0.38,0.25,0.63,0.38,0.63,Liverpool
43,Cody Gakpo,nl NED,"FW,MF",24-323,26,12,1163.0,12.9,5.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,6.0,6.0,0.7,6.8,27.0,54.0,86.0,0.39,0.23,0.62,0.39,0.62,0.47,0.06,0.53,0.47,0.53,Liverpool
44,Wataru Endo,jp JPN,MF,31-045,20,12,1094.0,12.2,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.3,0.3,1.6,2.0,6.0,59.0,15.0,0.08,0.0,0.08,0.08,0.08,0.03,0.13,0.16,0.03,0.16,Liverpool
45,Curtis Jones,eng ENG,MF,23-055,17,12,956.0,10.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.8,1.8,0.5,2.3,27.0,59.0,64.0,0.09,0.09,0.19,0.09,0.19,0.17,0.05,0.22,0.17,0.22,Liverpool
46,Andrew Robertson,sct SCO,DF,30-014,15,11,1066.0,11.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,2.7,3.4,31.0,69.0,60.0,0.08,0.08,0.17,0.08,0.17,0.06,0.23,0.29,0.06,0.29,Liverpool
47,Ryan Gravenberch,nl NED,MF,21-314,19,9,845.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.8,2.3,31.0,61.0,51.0,0.0,0.0,0.0,0.0,0.0,0.16,0.08,0.24,0.16,0.24,Liverpool
48,Joël Matip,cm CMR,DF,32-230,10,9,781.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1,0.6,8.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.06,0.06,0.06,Liverpool
49,Kostas Tsimikas,gr GRE,DF,27-318,12,8,672.0,7.5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.1,23.0,31.0,69.0,0.0,0.4,0.4,0.0,0.4,0.01,0.14,0.15,0.01,0.15,Liverpool
50,Caoimhín Kelleher,ie IRL,GK,25-123,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
51,Harvey Elliott,eng ENG,"MF,FW",20-356,24,6,838.0,9.3,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.3,1.3,2.4,3.7,30.0,72.0,64.0,0.21,0.21,0.43,0.21,0.43,0.14,0.26,0.4,0.14,0.4,Liverpool
52,Jarell Quansah,eng ENG,DF,21-056,9,6,533.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Liverpool
53,Conor Bradley,nir NIR,DF,20-260,6,6,441.0,4.9,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,1.1,1.8,16.0,16.0,37.0,0.2,0.61,0.82,0.2,0.82,0.14,0.21,0.36,0.14,0.36,Liverpool
54,Bobby Clark,eng ENG,MF,19-047,5,1,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Liverpool
55,Ben Doak,sct SCO,FW,18-135,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
56,Jayden Danns,eng ENG,FW,18-069,2,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
57,Owen Beck,wls WAL,DF,21-229,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
58,Thiago Alcántara,es ESP,MF,32-349,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
59,James McConnell,eng ENG,MF,19-194,3,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
60,Kaide Gordon,eng ENG,FW,19-172,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
61,Adrián,es ESP,GK,37-082,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liverpool
62,Stefan Bajcetic,es ESP,DF,19-155,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liverpool
63,Luke Chambers,eng ENG,DF,19-275,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liverpool
64,Lewis Koumas,wls WAL,MF,18-188,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liverpool
65,Fabian Mrozek,pl POL,GK,20-179,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liverpool
66,Amara Nallo,eng ENG,DF,17-128,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liverpool
67,Trey Nyoni,eng ENG,MF,16-269,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liverpool
68,Marcelo Pitaluga,br BRA,GK,21-096,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liverpool
69,Calum Scanlon,eng ENG,MF,19-040,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liverpool
70,Ederson,br BRA,GK,30-221,27,27,2312.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City
71,Phil Foden,eng ENG,"FW,MF",23-302,28,26,2309.0,25.7,11.0,7.0,18.0,11.0,0.0,0.0,1.0,0.0,8.5,8.5,6.2,14.8,83.0,140.0,225.0,0.43,0.27,0.7,0.43,0.7,0.33,0.24,0.58,0.33,0.58,Manchester City
72,Julián Álvarez,ar ARG,"MF,FW",24-054,28,26,2197.0,24.4,8.0,7.0,15.0,7.0,1.0,1.0,2.0,0.0,9.0,8.2,6.2,14.5,52.0,87.0,144.0,0.33,0.29,0.61,0.29,0.57,0.37,0.25,0.62,0.34,0.59,Manchester City
