Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Team
195,Evan Ferguson,ie IRL,FW,19-159,15.1,447,12,63,204,185,45,447,16,7,43.8,6,37.5,286,1299,414,13,9,5,40,31,336,62,Brighton
196,Jason Steele,eng ENG,GK,33-221,15.0,639,567,635,4,0,0,639,0,0,,0,,442,1779,900,0,0,0,0,0,429,0,Brighton
197,Danny Welbeck,eng ENG,"FW,MF",33-121,11.4,464,16,49,201,218,45,464,18,6,33.3,11,61.1,280,1291,621,20,11,7,28,13,336,64,Brighton
198,Bart Verbruggen,nl NED,GK,21-221,13.0,576,490,569,7,0,0,576,1,1,100.0,0,0.0,416,1442,725,0,0,0,0,0,377,0,Brighton
199,João Pedro,br BRA,"FW,MF",22-182,15.5,814,24,74,313,435,121,810,70,28,40.0,28,40.0,558,3432,1536,54,28,31,49,51,653,152,Brighton
200,Pervis Estupiñán,ec ECU,DF,26-065,11.7,962,42,203,494,272,36,962,20,8,40.0,8,40.0,611,2665,1585,41,25,13,17,6,647,76,Brighton
201,Facundo Buonanotte,ar ARG,"MF,FW",19-094,10.5,473,15,68,213,201,30,473,36,9,25.0,23,63.9,289,1461,556,13,15,6,29,24,339,50,Brighton
202,Joël Veltman,nl NED,DF,32-071,12.6,873,66,263,447,165,12,873,8,1,12.5,4,50.0,497,2178,929,20,13,0,13,4,534,39,Brighton
203,Igor,br BRA,DF,26-048,11.1,1097,66,385,625,92,4,1097,15,10,66.7,4,26.7,707,3509,1774,19,11,0,9,5,803,6,Brighton
204,James Milner,eng ENG,"DF,MF",38-082,8.6,675,25,135,300,245,17,675,8,3,37.5,4,50.0,395,1230,562,11,6,4,11,6,457,73,Brighton
205,Adam Lallana,eng ENG,MF,35-321,7.4,450,4,62,222,169,31,450,10,3,30.0,6,60.0,286,1055,360,6,10,2,11,13,384,44,Brighton
206,Adam Webster,eng ENG,DF,29-082,8.5,903,71,347,488,70,8,903,1,0,0.0,1,100.0,615,3022,1757,11,13,0,4,1,692,2,Brighton
207,Carlos Baleba,cm CMR,MF,20-083,8.5,596,36,161,363,79,3,596,15,9,60.0,3,20.0,362,1772,864,6,11,0,9,12,414,5,Brighton
208,Jack Hinshelwood,eng ENG,DF,18-350,9.7,590,26,193,256,143,30,590,5,0,0.0,4,80.0,331,1598,726,16,15,1,9,2,381,38,Brighton
209,Tariq Lamptey,gh GHA,"DF,FW",23-178,6.6,388,11,70,175,146,17,388,13,6,46.2,6,46.2,263,1524,928,26,12,10,15,2,279,47,Brighton
210,Solly March,eng ENG,"FW,DF",29-250,6.2,336,12,71,123,145,18,336,18,8,44.4,8,44.4,198,975,491,14,7,3,8,10,211,44,Brighton
211,Mahmoud Dahoud,de GER,MF,28-085,5.0,368,12,86,225,58,4,368,5,2,40.0,3,60.0,239,951,406,4,3,1,6,5,303,6,Brighton
212,Ansu Fati,es ESP,"MF,FW",21-147,5.3,260,4,25,130,107,36,260,13,5,38.5,6,46.2,183,872,390,14,2,9,14,8,205,40,Brighton
213,Julio Enciso,py PAR,"MF,FW",20-063,1.6,77,0,1,35,43,9,77,16,10,62.5,4,25.0,65,403,222,7,5,5,3,2,64,12,Brighton
214,Jakub Moder,pl POL,"MF,DF",24-354,2.5,160,6,37,70,53,6,160,3,0,0.0,2,66.7,95,321,139,4,4,1,5,4,108,11,Brighton
215,Benicio Boaitey,eng ENG,"DF,FW",20-077,0.2,21,1,6,4,12,0,21,1,1,100.0,0,0.0,12,69,12,0,2,0,1,1,16,1,Brighton
216,Max Kilman,eng ENG,DF,26-308,28.0,1919,293,989,832,112,17,1919,12,8,66.7,1,8.3,1150,5608,3336,21,16,1,5,8,1312,3,Wolves
217,Nélson Semedo,pt POR,"DF,MF",30-131,26.1,1655,104,539,729,414,26,1655,67,37,55.2,23,34.3,917,5728,3238,79,48,10,42,25,978,113,Wolves
218,José Sá,pt POR,GK,31-069,24.7,840,730,835,5,0,0,840,3,3,100.0,0,0.0,484,3291,2153,0,1,1,0,1,328,0,Wolves
219,Craig Dawson,eng ENG,DF,33-325,24.5,1529,292,889,592,54,34,1529,3,3,100.0,0,0.0,896,4227,1932,1,7,0,5,2,997,4,Wolves
220,Mario Lemina,ga GAB,MF,30-207,24.2,1257,93,374,651,254,42,1257,30,16,53.3,13,43.3,651,3233,1467,25,23,1,25,17,802,39,Wolves
221,Matheus Cunha,br BRA,"FW,MF",24-304,21.8,944,22,132,465,375,100,943,110,52,47.3,46,41.8,572,4592,2693,93,65,30,62,41,671,108,Wolves
222,João Gomes,br BRA,MF,23-043,20.2,1092,43,290,578,238,19,1092,30,17,56.7,10,33.3,552,2644,1113,13,11,1,29,27,647,21,Wolves
223,Toti Gomes,pt POR,DF,25-070,20.8,1461,113,663,674,130,15,1461,21,14,66.7,4,19.0,775,3184,1736,15,9,1,12,3,936,7,Wolves
224,Rayan Aït-Nouri,dz ALG,"DF,MF",22-294,18.9,1121,43,292,501,346,39,1121,84,45,53.6,28,33.3,653,3663,1808,51,38,7,34,35,736,78,Wolves
225,Hwang Hee-chan,kr KOR,"FW,MF",28-060,18.0,637,13,97,268,284,78,636,61,32,52.5,26,42.6,408,2197,886,30,19,17,41,25,462,93,Wolves
226,Pedro Neto,pt POR,"FW,MF",24-017,16.7,894,4,62,355,499,83,894,88,37,42.0,42,47.7,574,4848,2558,97,63,42,44,20,673,148,Wolves
227,Pablo Sarabia,es ESP,"MF,FW",31-320,14.1,873,11,99,413,372,43,872,32,14,43.8,15,46.9,515,2666,1209,33,40,8,28,16,605,105,Wolves
228,Jean-Ricner Bellegarde,fr FRA,"MF,FW",25-273,9.0,425,21,75,174,184,29,425,35,15,42.9,16,45.7,241,1626,756,25,23,5,23,16,265,43,Wolves
229,Tommy Doyle,eng ENG,MF,22-161,9.0,717,33,191,409,122,3,717,3,1,33.3,1,33.3,430,1985,832,11,10,2,4,4,512,9,Wolves
230,Hugo Bueno,es ESP,"DF,MF",21-190,4.8,356,18,115,143,99,7,356,19,6,31.6,11,57.9,189,1099,506,12,7,1,6,13,209,31,Wolves
231,Matt Doherty,ie IRL,"DF,MF",32-070,6.6,401,31,138,165,100,18,401,9,4,44.4,4,44.4,167,730,305,7,5,0,10,2,225,36,Wolves
232,Boubacar Traoré,ml MLI,"MF,FW",22-219,4.5,269,9,49,174,50,2,269,5,3,60.0,1,20.0,149,742,280,4,8,1,7,7,181,9,Wolves
233,Santiago Bueno,uy URU,DF,25-138,3.2,180,31,101,77,3,0,180,1,1,100.0,0,0.0,104,529,271,0,0,0,0,0,114,0,Wolves
234,Fábio Silva,pt POR,FW,21-251,2.9,118,4,24,55,44,12,118,8,2,25.0,5,62.5,66,437,186,5,5,1,12,4,69,13,Wolves
235,Daniel Bentley,eng ENG,GK,30-257,3.3,104,87,104,0,0,0,104,0,0,,0,,43,229,144,0,0,0,0,0,50,0,Wolves
236,Matheus Nunes,pt POR,MF,25-212,2.0,131,4,30,66,40,6,131,17,11,64.7,4,23.5,93,634,336,7,6,3,3,4,95,9,Wolves
237,Nathan Fraser,ie IRL,FW,19-033,1.9,51,3,8,24,20,2,51,0,0,,0,,27,69,13,0,0,0,4,0,31,15,Wolves
238,Sasa Kalajdzic,at AUT,FW,26-263,1.8,88,5,20,44,24,7,88,1,1,100.0,0,0.0,46,143,48,1,1,0,2,5,68,9,Wolves
239,Tawanda Chirewa,eng ENG,"MF,FW",20-167,0.1,12,2,4,4,4,1,12,0,0,,0,,8,46,6,0,0,0,0,0,8,4,Wolves
240,Jonny Castro,es ESP,MF,30-023,0.1,2,1,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Wolves
241,Fabian Schär,ch SUI,DF,32-097,27.1,2071,300,1077,891,121,35,2071,18,10,55.6,7,38.9,1271,6663,4190,18,39,1,13,10,1452,17,Newcastle Utd
242,Bruno Guimarães,br BRA,MF,26-131,26.3,1966,68,415,1076,505,50,1966,87,48,55.2,26,29.9,1311,7354,2828,41,50,14,47,48,1543,52,Newcastle Utd
243,Anthony Gordon,eng ENG,FW,23-031,24.3,1019,12,123,388,525,102,1018,97,35,36.1,42,43.3,699,5651,2570,94,59,36,58,28,752,166,Newcastle Utd
244,Kieran Trippier,eng ENG,DF,33-189,24.0,2277,93,707,946,646,35,2277,22,16,72.7,6,27.3,1051,4171,2011,34,37,5,20,9,1371,123,Newcastle Utd
245,Miguel Almirón,py PAR,FW,30-045,20.4,973,23,131,403,452,81,973,48,21,43.8,21,43.8,617,4237,2165,77,41,21,29,25,695,156,Newcastle Utd
246,Dan Burn,eng ENG,DF,31-322,20.3,1410,109,586,642,185,33,1410,5,3,60.0,2,40.0,622,2511,1107,13,7,3,12,8,785,25,Newcastle Utd
247,Sean Longstaff,eng ENG,MF,26-148,21.1,1079,32,233,577,274,51,1079,15,7,46.7,8,53.3,563,2183,947,14,13,3,26,27,765,82,Newcastle Utd
248,Alexander Isak,se SWE,FW,24-187,15.6,432,10,29,187,220,78,430,47,26,55.3,17,36.2,252,1857,990,39,20,19,30,14,309,76,Newcastle Utd
249,Sven Botman,nl NED,DF,24-074,15.3,1154,186,676,450,29,20,1154,2,0,0.0,2,100.0,672,2866,1403,0,4,0,5,2,822,5,Newcastle Utd
250,Nick Pope,eng ENG,GK,31-342,13.9,400,337,396,3,1,1,400,0,0,,0,,199,1014,576,0,0,0,0,0,160,0,Newcastle Utd
251,Lewis Miley,eng ENG,MF,17-330,13.4,674,36,164,305,212,35,674,17,8,47.1,8,47.1,350,1664,654,14,7,6,16,10,435,54,Newcastle Utd
252,Joelinton,br BRA,"MF,FW",27-225,12.6,687,33,127,349,216,34,687,33,16,48.5,11,33.3,370,1713,792,21,17,5,21,25,488,58,Newcastle Utd
253,Martin Dúbravka,sk SVK,GK,35-071,13.1,434,374,428,6,0,0,434,0,0,,0,,226,1241,870,0,0,0,2,0,162,0,Newcastle Utd
254,Jamaal Lascelles,eng ENG,DF,30-136,11.8,868,101,395,435,41,20,868,3,1,33.3,1,33.3,516,2478,1454,8,5,0,2,4,632,3,Newcastle Utd
255,Valentino Livramento,eng ENG,DF,21-135,10.8,647,46,218,281,159,16,647,25,14,56.0,7,28.0,338,2202,1066,32,16,7,12,12,386,53,Newcastle Utd
256,Callum Wilson,eng ENG,FW,32-028,9.6,259,4,9,114,142,65,257,29,13,44.8,13,44.8,182,882,287,9,7,11,40,32,216,63,Newcastle Utd
257,Sandro Tonali,it ITA,MF,23-323,4.9,307,5,60,179,70,8,307,6,3,50.0,2,33.3,191,965,409,11,4,1,4,2,257,21,Newcastle Utd
258,Jacob Murphy,eng ENG,FW,29-031,5.3,258,9,40,99,125,23,258,16,8,50.0,7,43.8,143,930,444,18,13,8,10,8,171,39,Newcastle Utd
259,Elliot Anderson,sct SCO,"MF,FW",21-141,4.8,264,7,36,130,105,18,264,17,8,47.1,7,41.2,156,1017,522,17,11,2,15,10,189,36,Newcastle Utd
260,Harvey Barnes,eng ENG,FW,26-108,4.0,172,2,18,58,98,23,172,14,4,28.6,7,50.0,124,913,613,26,9,13,4,7,129,38,Newcastle Utd
261,Joe Willock,eng ENG,MF,24-219,3.4,169,3,35,77,60,12,169,14,5,35.7,9,64.3,98,651,314,11,5,3,14,3,120,17,Newcastle Utd
262,Lewis Hall,eng ENG,DF,19-200,1.2,109,3,38,50,23,1,109,6,1,16.7,5,83.3,51,247,105,2,3,1,2,4,61,7,Newcastle Utd
263,Loris Karius,de GER,GK,30-278,1.0,41,34,41,0,0,0,41,0,0,,0,,17,57,25,0,0,0,0,0,15,0,Newcastle Utd
264,Matt Targett,eng ENG,DF,28-190,0.9,51,1,22,25,5,0,51,2,0,0.0,1,50.0,34,153,91,1,1,0,0,0,33,0,Newcastle Utd
265,Matt Ritchie,sct SCO,FW,34-198,1.2,88,4,19,30,39,7,88,2,0,0.0,1,50.0,40,183,114,2,4,1,1,1,61,9,Newcastle Utd
266,Emil Krafth,se SWE,DF,29-237,1.2,125,1,23,49,54,2,125,3,2,66.7,0,0.0,69,300,153,3,1,0,0,1,95,17,Newcastle Utd
267,Ben Parkinson,eng ENG,FW,19-016,0.3,6,2,2,1,3,0,6,0,0,,0,,0,0,0,0,0,0,0,0,2,0,Newcastle Utd
268,Joe White,eng ENG,MF,21-177,0.1,11,1,2,5,4,0,11,0,0,,0,,7,66,29,2,0,0,0,0,7,3,Newcastle Utd
269,Paul Dummett,wls WAL,DF,32-182,0.1,9,1,4,5,0,0,9,0,0,,0,,2,9,6,0,0,0,0,0,6,0,Newcastle Utd
270,Alex Murphy,ie IRL,"FW,DF",19-275,0.0,5,0,2,3,0,0,5,0,0,,0,,4,8,1,0,0,0,0,0,4,0,Newcastle Utd
271,Amadou Diallo,eng ENG,MF,21-040,0.0,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,0,Newcastle Utd
272,Michael Ndiweni,eng ENG,FW,20-115,0.0,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Newcastle Utd
273,Conor Gallagher,eng ENG,MF,24-049,24.2,1745,46,296,893,588,52,1745,41,24,58.5,11,26.8,1047,5078,2155,41,36,7,51,24,1229,87,Chelsea
274,Axel Disasi,fr FRA,DF,26-015,24.7,2139,252,1039,957,153,18,2139,21,11,52.4,5,23.8,1370,5996,3559,24,15,2,15,12,1629,19,Chelsea
275,Thiago Silva,br BRA,DF,39-186,22.0,1922,296,956,910,64,14,1922,4,2,50.0,0,0.0,1246,5258,2987,2,11,0,6,1,1417,2,Chelsea
276,Moisés Caicedo,ec ECU,MF,22-145,21.6,1593,80,449,899,258,6,1593,32,15,46.9,14,43.8,897,3420,1381,9,19,0,28,16,1198,16,Chelsea
277,Enzo Fernández,ar ARG,MF,23-069,20.8,1763,56,371,984,418,40,1761,40,21,52.5,15,37.5,1063,4837,2456,46,39,6,27,22,1365,52,Chelsea
278,Raheem Sterling,eng ENG,"FW,MF",29-109,20.1,906,6,61,283,579,152,906,120,40,33.3,65,54.2,659,4542,2727,109,48,58,49,38,726,226,Chelsea
279,Nicolas Jackson,sn SEN,FW,22-280,20.2,635,24,64,274,313,97,635,56,28,50.0,22,39.3,400,2721,1216,36,29,18,50,49,471,114,Chelsea
280,Levi Colwill,eng ENG,DF,21-029,20.0,1392,108,570,669,164,26,1392,13,9,69.2,4,30.8,766,3602,1985,23,17,2,22,4,873,27,Chelsea
281,Cole Palmer,eng ENG,"FW,MF",21-325,19.3,1184,17,135,518,542,71,1179,70,32,45.7,34,48.6,790,4813,2194,64,36,21,40,34,932,122,Chelsea
282,Robert Sánchez,es ESP,GK,26-129,15.9,649,561,644,5,0,0,649,0,0,,0,,392,1890,1130,0,0,0,1,0,360,0,Chelsea
283,Malo Gusto,fr FRA,DF,20-312,15.2,1288,56,374,552,385,32,1288,34,13,38.2,17,50.0,771,4117,2040,57,31,11,24,10,861,102,Chelsea
284,Đorđe Petrović,rs SRB,GK,24-170,11.1,431,376,430,1,0,0,431,0,0,,0,,254,1077,574,0,0,0,1,0,232,0,Chelsea
285,Mykhailo Mudryk,ua UKR,"FW,MF",23-081,10.1,470,6,58,159,265,51,470,52,22,42.3,22,42.3,328,2779,1580,58,44,25,35,13,350,92,Chelsea
286,Marc Cucurella,es ESP,DF,25-248,8.8,675,46,288,271,121,8,675,6,2,33.3,4,66.7,314,1366,775,16,8,2,7,1,407,31,Chelsea
287,Ben Chilwell,eng ENG,DF,27-096,8.3,591,21,122,254,218,27,591,19,7,36.8,8,42.1,325,1667,824,22,14,5,20,5,383,58,Chelsea
288,Benoît Badiashile,fr FRA,DF,23-000,6.2,564,75,280,258,27,4,564,1,0,0.0,0,0.0,319,1336,766,1,2,0,1,3,394,1,Chelsea
289,Armando Broja,al ALB,FW,22-198,5.0,167,3,9,56,106,35,167,31,13,41.9,16,51.6,117,695,286,11,4,8,17,14,131,37,Chelsea
290,Reece James,eng ENG,DF,24-109,4.3,362,24,110,138,116,19,362,13,9,69.2,3,23.1,201,997,527,19,8,3,6,5,225,33,Chelsea
291,Noni Madueke,eng ENG,FW,22-016,3.9,254,7,38,73,151,27,253,33,13,39.4,13,39.4,167,1200,794,29,12,11,13,7,187,54,Chelsea
292,Lesley Ugochukwu,fr FRA,MF,20-000,3.0,194,10,60,112,25,1,194,6,3,50.0,1,16.7,120,564,310,6,2,1,3,3,148,2,Chelsea
293,Christopher Nkunku,fr FRA,"FW,MF",26-133,3.5,139,4,9,52,78,22,139,4,1,25.0,3,75.0,82,343,148,7,5,2,13,4,109,28,Chelsea
294,Trevoh Chalobah,eng ENG,DF,24-265,2.2,134,23,83,50,2,0,134,0,0,,0,,58,165,25,0,0,0,2,0,77,0,Chelsea
295,Carney Chukwuemeka,eng ENG,"MF,FW",20-158,1.9,121,0,12,48,63,11,121,7,1,14.3,6,85.7,83,493,200,4,5,2,3,2,93,15,Chelsea
296,Ian Maatsen,nl NED,"FW,MF",22-016,2.3,179,7,49,56,75,8,179,4,0,0.0,4,100.0,100,555,315,9,5,2,8,7,117,15,Chelsea
297,Roméo Lavia,be BEL,MF,20-080,0.4,30,1,2,26,2,0,30,0,0,,0,,22,83,40,0,0,0,0,0,26,0,Chelsea
298,Cesare Casadei,it ITA,"MF,FW",21-076,0.2,27,3,8,16,3,1,27,0,0,,0,,12,70,18,0,0,0,0,0,21,0,Chelsea
299,Alfie Gilchrist,eng ENG,"DF,FW",20-119,0.2,30,5,10,8,12,0,30,0,0,,0,,9,56,40,1,1,0,1,1,9,0,Chelsea
300,Deivid Washington,br BRA,DF,18-295,0.1,4,0,1,2,1,1,4,0,0,,0,,1,3,0,0,0,0,0,1,1,1,Chelsea
301,Mason Burstow,eng ENG,FW,20-235,0.1,6,0,0,1,5,1,6,0,0,,0,,2,1,0,0,0,0,1,0,3,1,Chelsea
302,Alex Matos,eng ENG,MF,19-175,0.0,0,0,0,0,0,0,0,0,0,,0,,1,1,0,0,0,0,0,1,1,0,Chelsea
303,Bernd Leno,de GER,GK,32-022,29.0,1248,932,1239,9,0,0,1248,0,0,,0,,788,3556,1939,0,0,0,1,0,708,0,Fulham
304,Antonee Robinson,us USA,DF,26-231,27.4,1875,120,676,728,499,50,1875,66,30,45.5,29,43.9,959,5946,3022,75,55,5,36,14,1023,141,Fulham
305,Andreas Pereira,br BRA,MF,28-085,22.2,1130,18,114,489,536,48,1130,31,14,45.2,17,54.8,610,3315,1584,42,41,9,33,34,741,94,Fulham
306,Timothy Castagne,be BEL,DF,28-112,22.3,1541,86,543,659,347,50,1541,24,14,58.3,8,33.3,712,3029,1446,40,17,4,18,8,868,94,Fulham
307,João Palhinha,pt POR,MF,28-261,21.8,1255,89,401,690,179,31,1255,18,8,44.4,8,44.4,575,2125,733,7,8,0,27,20,706,9,Fulham
308,Willian,br BRA,FW,35-230,18.0,1018,15,128,395,507,55,1016,43,18,41.9,19,44.2,694,4622,2338,72,57,23,31,19,794,140,Fulham
309,Raúl Jiménez,mx MEX,FW,32-326,14.1,491,18,49,231,211,55,491,22,8,36.4,12,54.5,278,1236,415,10,12,5,38,28,385,73,Fulham
310,Calvin Bassey,ng NGA,DF,24-086,16.6,1219,164,653,554,26,7,1219,12,9,75.0,2,16.7,770,3898,1922,7,8,2,8,4,829,4,Fulham
311,Alex Iwobi,ng NGA,"FW,MF",27-328,16.5,896,13,121,422,375,59,896,47,23,48.9,23,48.9,623,4051,1925,68,53,18,36,20,696,124,Fulham
312,Tim Ream,us USA,DF,36-173,15.7,1149,148,543,584,30,7,1149,6,5,83.3,1,16.7,710,4044,2660,11,6,2,6,3,774,3,Fulham
313,Harry Wilson,wls WAL,FW,27-004,15.7,700,21,105,300,307,44,700,29,12,41.4,14,48.3,432,2826,1287,31,20,13,31,10,510,112,Fulham
314,Bobby Reid,jm JAM,FW,31-053,13.0,555,19,78,249,233,42,555,21,7,33.3,10,47.6,341,1616,744,30,17,8,25,8,404,78,Fulham
315,Tom Cairney,sct SCO,MF,33-066,13.8,1114,24,191,624,322,24,1114,28,22,78.6,4,14.3,732,3607,1766,30,30,6,24,17,889,54,Fulham
316,Tosin Adarabioyo,eng ENG,DF,26-184,13.0,1008,137,517,460,33,20,1008,3,1,33.3,0,0.0,595,3344,1890,5,5,0,2,4,731,3,Fulham
317,Issa Diop,fr FRA,DF,27-077,12.8,1044,117,512,516,19,6,1044,1,1,100.0,0,0.0,692,3975,2497,11,7,0,3,4,749,1,Fulham
318,Harrison Reed,eng ENG,MF,29-059,12.7,764,28,183,435,147,8,764,10,5,50.0,5,50.0,403,1567,532,9,7,1,16,12,525,34,Fulham
319,Rodrigo Muniz,br BRA,FW,22-327,10.4,276,18,27,125,128,70,276,14,2,14.3,11,78.6,148,486,155,3,3,2,30,20,204,41,Fulham
320,Saša Lukić,rs SRB,MF,27-226,8.1,416,22,113,242,68,10,416,6,4,66.7,2,33.3,244,1166,519,6,10,0,9,7,260,14,Fulham
321,Kenny Tete,nl NED,DF,28-169,7.6,500,36,172,207,126,8,500,18,8,44.4,9,50.0,229,1048,483,17,11,1,7,3,270,33,Fulham
322,Carlos Vinícius,br BRA,FW,29-001,3.5,102,1,11,49,45,15,102,8,2,25.0,6,75.0,66,322,91,3,4,2,11,7,80,13,Fulham
323,Adama Traoré,es ESP,"FW,MF",28-061,1.2,54,2,13,21,23,5,54,9,5,55.6,3,33.3,39,391,247,5,6,2,4,5,39,8,Fulham
324,Luke Harris,wls WAL,MF,18-358,0.8,19,1,8,6,5,1,19,2,0,0.0,2,100.0,9,39,6,0,1,0,0,0,11,0,Fulham
325,Fodé Ballo-Touré,sn SEN,"DF,MF",27-083,0.6,83,3,31,36,17,1,83,6,3,50.0,2,33.3,45,287,163,5,2,1,0,0,47,4,Fulham
326,Armando Broja,al ALB,FW,22-198,0.6,23,0,2,4,17,3,23,3,2,66.7,1,33.3,15,103,55,2,1,0,3,3,21,5,Fulham
327,Aleksandar Mitrović,rs SRB,FW,29-192,0.4,12,0,1,6,6,4,12,3,3,100.0,0,0.0,5,29,15,0,0,0,0,0,8,0,Fulham
328,Illia Zabarnyi,ua UKR,DF,21-207,28.0,1678,237,854,768,62,16,1678,11,8,72.7,2,18.2,1006,5497,3321,21,11,0,11,1,1070,1,Bournemouth
329,Dominic Solanke,eng ENG,FW,26-194,27.7,819,42,75,327,431,163,817,83,30,36.1,48,57.8,467,2928,979,33,16,16,109,69,560,139,Bournemouth
330,Ryan Christie,sct SCO,MF,29-033,24.3,1298,58,235,666,427,59,1298,73,37,50.7,32,43.8,717,4496,2101,50,42,12,43,35,764,68,Bournemouth
331,Neto,br BRA,GK,34-251,26.0,921,767,913,8,0,0,921,1,1,100.0,0,0.0,510,3079,2022,0,0,0,0,0,379,0,Bournemouth
332,Lewis Cook,eng ENG,MF,27-052,21.0,1215,55,272,717,244,5,1215,25,15,60.0,9,36.0,513,2474,1215,14,16,0,26,14,584,11,Bournemouth
333,Marcus Tavernier,eng ENG,FW,25-004,20.2,1069,30,164,348,581,81,1069,90,39,43.3,45,50.0,597,4342,2194,73,75,23,46,36,662,148,Bournemouth
334,Marcos Senesi,ar ARG,DF,26-321,18.4,1235,137,587,586,75,13,1235,13,8,61.5,5,38.5,697,3544,2285,21,17,2,12,9,738,3,Bournemouth
335,Antoine Semenyo,gh GHA,FW,24-079,15.8,679,17,86,246,357,82,679,64,26,40.6,31,48.4,408,3443,1643,56,35,26,32,33,458,128,Bournemouth
336,Justin Kluivert,nl NED,"MF,FW",24-326,13.6,451,7,49,154,255,70,451,45,17,37.8,27,60.0,270,1927,1026,38,27,20,36,24,292,79,Bournemouth
337,Milos Kerkez,hu HUN,DF,20-140,16.1,837,69,275,301,269,18,837,21,10,47.6,9,42.9,393,2378,1089,29,20,4,18,8,407,70,Bournemouth
338,Adam Smith,eng ENG,DF,32-332,15.8,840,60,271,386,189,8,840,10,4,40.0,4,40.0,367,1787,707,16,16,2,8,4,415,20,Bournemouth
339,Philip Billing,dk DEN,MF,27-289,13.8,659,41,122,294,250,56,659,30,10,33.3,17,56.7,327,1511,669,17,20,5,25,14,386,54,Bournemouth
340,Max Aarons,eng ENG,DF,24-082,12.1,615,37,223,264,137,11,615,31,12,38.7,11,35.5,314,1908,998,19,11,7,11,7,310,22,Bournemouth
341,Lloyd Kelly,eng ENG,DF,25-172,11.2,703,76,279,328,100,6,703,2,2,100.0,0,0.0,358,1839,1036,12,8,2,8,4,380,15,Bournemouth
342,Alex Scott,eng ENG,MF,20-218,7.7,419,26,85,197,146,14,419,27,8,29.6,15,55.6,216,1419,760,15,15,5,13,6,239,18,Bournemouth
343,Dango Ouattara,bf BFA,"DF,FW",22-044,7.5,502,20,133,168,211,48,502,25,15,60.0,7,28.0,236,1522,865,33,12,12,14,6,262,62,Bournemouth
344,Luis Sinisterra,co COL,"FW,MF",24-283,7.3,416,11,60,131,234,81,416,47,28,59.6,17,36.2,255,2013,1144,49,19,33,24,9,295,79,Bournemouth
345,Chris Mepham,wls WAL,DF,26-142,5.9,379,37,144,211,24,5,379,0,0,,0,,214,1197,697,4,4,0,1,2,214,0,Bournemouth
346,Joe Rothwell,eng ENG,MF,29-075,4.3,251,8,49,147,56,1,251,13,7,53.8,4,30.8,140,862,437,6,4,0,5,2,155,3,Bournemouth
347,David Brooks,wls WAL,"FW,MF",26-262,3.1,177,2,25,72,83,11,177,10,4,40.0,6,60.0,102,680,279,8,9,1,7,1,113,27,Bournemouth
348,Ionuț Radu,ro ROU,GK,26-303,2.0,70,64,70,0,0,0,70,0,0,,0,,51,215,101,0,0,0,0,0,40,0,Bournemouth
349,Jaidon Anthony,eng ENG,FW,24-116,1.7,69,2,15,27,27,4,69,6,2,33.3,3,50.0,36,160,77,2,2,0,5,2,40,9,Bournemouth
350,James Hill,eng ENG,DF,22-076,0.8,56,7,22,22,12,0,56,1,0,0.0,1,100.0,18,41,7,0,1,0,1,1,20,1,Bournemouth
351,Kieffer Moore,wls WAL,"FW,MF",31-231,1.2,53,0,2,21,30,12,53,3,1,33.3,1,33.3,29,93,34,2,0,0,3,1,47,15,Bournemouth
352,Enes Ünal,tr TUR,"MF,FW",26-321,1.1,47,1,1,17,29,11,47,3,1,33.3,1,33.3,36,110,33,1,1,0,5,4,42,15,Bournemouth
353,Hamed Junior Traorè,ci CIV,MF,24-039,0.5,41,1,13,14,15,2,41,8,4,50.0,4,50.0,22,153,80,2,1,1,2,1,28,4,Bournemouth
354,Tyler Adams,us USA,MF,25-041,0.2,15,0,1,13,1,0,15,0,0,,0,,11,52,23,0,0,0,0,0,12,0,Bournemouth
355,Romain Faivre,fr FRA,"MF,DF",25-256,0.2,20,0,2,7,11,1,20,5,1,20.0,2,40.0,13,120,75,2,2,0,1,1,16,1,Bournemouth
356,Joachim Andersen,dk DEN,DF,27-300,28.0,1913,227,948,858,114,35,1913,20,12,60.0,5,25.0,1046,5727,3451,20,10,0,7,6,1216,8,Crystal Palace
357,Tyrick Mitchell,eng ENG,DF,24-207,26.1,1485,99,578,541,381,30,1485,21,8,38.1,12,57.1,589,2145,1013,15,14,3,30,19,690,104,Crystal Palace
358,Jordan Ayew,gh GHA,"FW,MF",32-197,23.7,1127,20,160,471,513,83,1127,110,44,40.0,46,41.8,716,4737,1843,66,51,18,76,71,816,157,Crystal Palace
359,Jefferson Lerma,co COL,MF,29-153,22.5,1253,60,300,695,269,39,1253,16,9,56.3,5,31.3,618,2472,1145,13,13,2,21,13,751,48,Crystal Palace
360,Marc Guéhi,eng ENG,DF,23-257,21.2,1423,193,742,633,53,12,1423,13,7,53.8,4,30.8,863,4024,2109,13,9,1,8,2,955,6,Crystal Palace
