Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Team
810,Martin Dúbravka,sk SVK,GK,35-071,13.1,434,374,428,6,0,0,434,0,0,,0,,226,1241,870,0,0,0,2,0,162,0,Newcastle Utd
811,Jamaal Lascelles,eng ENG,DF,30-136,11.8,868,101,395,435,41,20,868,3,1,33.3,1,33.3,516,2478,1454,8,5,0,2,4,632,3,Newcastle Utd
812,Valentino Livramento,eng ENG,DF,21-135,10.8,647,46,218,281,159,16,647,25,14,56.0,7,28.0,338,2202,1066,32,16,7,12,12,386,53,Newcastle Utd
813,Callum Wilson,eng ENG,FW,32-028,9.6,259,4,9,114,142,65,257,29,13,44.8,13,44.8,182,882,287,9,7,11,40,32,216,63,Newcastle Utd
814,Sandro Tonali,it ITA,MF,23-323,4.9,307,5,60,179,70,8,307,6,3,50.0,2,33.3,191,965,409,11,4,1,4,2,257,21,Newcastle Utd
815,Jacob Murphy,eng ENG,FW,29-031,5.3,258,9,40,99,125,23,258,16,8,50.0,7,43.8,143,930,444,18,13,8,10,8,171,39,Newcastle Utd
816,Elliot Anderson,sct SCO,"MF,FW",21-141,4.8,264,7,36,130,105,18,264,17,8,47.1,7,41.2,156,1017,522,17,11,2,15,10,189,36,Newcastle Utd
817,Harvey Barnes,eng ENG,FW,26-108,4.0,172,2,18,58,98,23,172,14,4,28.6,7,50.0,124,913,613,26,9,13,4,7,129,38,Newcastle Utd
818,Joe Willock,eng ENG,MF,24-219,3.4,169,3,35,77,60,12,169,14,5,35.7,9,64.3,98,651,314,11,5,3,14,3,120,17,Newcastle Utd
819,Lewis Hall,eng ENG,DF,19-200,1.2,109,3,38,50,23,1,109,6,1,16.7,5,83.3,51,247,105,2,3,1,2,4,61,7,Newcastle Utd
820,Loris Karius,de GER,GK,30-278,1.0,41,34,41,0,0,0,41,0,0,,0,,17,57,25,0,0,0,0,0,15,0,Newcastle Utd
821,Matt Targett,eng ENG,DF,28-190,0.9,51,1,22,25,5,0,51,2,0,0.0,1,50.0,34,153,91,1,1,0,0,0,33,0,Newcastle Utd
822,Matt Ritchie,sct SCO,FW,34-198,1.2,88,4,19,30,39,7,88,2,0,0.0,1,50.0,40,183,114,2,4,1,1,1,61,9,Newcastle Utd
823,Emil Krafth,se SWE,DF,29-237,1.2,125,1,23,49,54,2,125,3,2,66.7,0,0.0,69,300,153,3,1,0,0,1,95,17,Newcastle Utd
824,Ben Parkinson,eng ENG,FW,19-016,0.3,6,2,2,1,3,0,6,0,0,,0,,0,0,0,0,0,0,0,0,2,0,Newcastle Utd
825,Joe White,eng ENG,MF,21-177,0.1,11,1,2,5,4,0,11,0,0,,0,,7,66,29,2,0,0,0,0,7,3,Newcastle Utd
826,Paul Dummett,wls WAL,DF,32-182,0.1,9,1,4,5,0,0,9,0,0,,0,,2,9,6,0,0,0,0,0,6,0,Newcastle Utd
827,Alex Murphy,ie IRL,"FW,DF",19-275,0.0,5,0,2,3,0,0,5,0,0,,0,,4,8,1,0,0,0,0,0,4,0,Newcastle Utd
828,Amadou Diallo,eng ENG,MF,21-040,0.0,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,0,Newcastle Utd
829,Michael Ndiweni,eng ENG,FW,20-115,0.0,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Newcastle Utd
