Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Team
80,Emiliano Martínez,ar ARG,GK,31-205,28.0,3,0.11,3,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Aston Villa
81,Douglas Luiz,br BRA,MF,25-321,26.9,99,3.68,54,26,6,8,4,1,8,0.3,5,3,0,0,0,0,Aston Villa
82,John McGinn,sct SCO,"MF,FW",29-159,26.4,96,3.64,81,8,5,1,1,0,13,0.49,10,1,2,0,0,0,Aston Villa
83,Ezri Konsa,eng ENG,DF,26-154,25.1,25,1.0,17,1,2,1,3,1,4,0.16,1,1,0,0,1,1,Aston Villa
84,Matty Cash,pl POL,DF,26-231,21.1,39,1.85,31,1,0,6,1,0,6,0.28,5,0,0,0,1,0,Aston Villa
85,Pau Torres,es ESP,DF,27-069,20.4,20,0.98,19,1,0,0,0,0,1,0.05,1,0,0,0,0,0,Aston Villa
86,Boubacar Kamara,fr FRA,MF,24-123,18.4,38,2.07,33,0,0,2,1,2,3,0.16,3,0,0,0,0,0,Aston Villa
87,Lucas Digne,fr FRA,DF,30-249,18.5,56,3.03,39,12,0,3,2,0,3,0.16,3,0,0,0,0,0,Aston Villa
88,Moussa Diaby,fr FRA,"FW,MF",24-262,17.5,60,3.44,49,1,4,4,2,0,7,0.4,7,0,0,0,0,0,Aston Villa
89,Leon Bailey,jm JAM,"MF,FW",26-229,16.6,79,4.77,56,6,8,7,1,1,10,0.6,6,1,1,2,0,0,Aston Villa
90,Diego Carlos,br BRA,DF,31-010,13.0,6,0.46,6,0,0,0,0,0,2,0.15,2,0,0,0,0,0,Aston Villa
91,Clément Lenglet,fr FRA,DF,28-282,10.8,15,1.39,11,1,0,3,0,0,1,0.09,1,0,0,0,0,0,Aston Villa
92,Youri Tielemans,be BEL,"MF,FW",26-323,12.7,35,2.75,28,1,1,3,2,0,11,0.86,10,0,0,1,0,0,Aston Villa
93,Álex Moreno,es ESP,DF,30-291,10.4,21,2.02,18,0,2,1,0,0,0,0.0,0,0,0,0,0,0,Aston Villa
