Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Team
389,Mads Roerslev,dk DEN,DF,24-275,16.3,25,1.53,22,0,2,0,0,1,3,0.18,3,0,0,0,0,0,Brentford
390,Bryan Mbeumo,cm CMR,FW,24-231,14.4,60,4.16,32,20,1,3,4,0,7,0.49,6,1,0,0,0,0,Brentford
391,Ben Mee,eng ENG,DF,34-186,14.1,14,0.99,11,1,0,2,0,0,1,0.07,0,0,0,1,0,0,Brentford
392,Kristoffer Ajer,no NOR,DF,25-343,14.4,23,1.59,20,0,1,2,0,0,2,0.14,2,0,0,0,0,0,Brentford
393,Neal Maupay,fr FRA,FW,27-224,13.4,39,2.9,30,0,2,6,0,1,5,0.37,5,0,0,0,0,0,Brentford
394,Frank Onyeka,ng NGA,MF,26-084,12.7,31,2.45,21,0,2,3,4,1,1,0.08,0,0,0,1,0,0,Brentford
395,Keane Lewis-Potter,eng ENG,"FW,DF",23-032,11.5,25,2.17,18,0,2,4,1,0,2,0.17,1,0,0,1,0,0,Brentford
396,Ivan Toney,eng ENG,FW,28-009,10.0,26,2.6,16,1,2,4,3,0,3,0.3,2,0,0,1,0,0,Brentford
397,Aaron Hickey,sct SCO,DF,21-289,7.9,7,0.88,6,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Brentford
398,Saman Ghoddos,ir IRN,DF,30-201,7.9,20,2.55,10,5,1,0,3,1,0,0.0,0,0,0,0,0,0,Brentford
399,Mathias Jørgensen,dk DEN,DF,33-337,7.1,5,0.71,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Brentford
400,Sergio Reguilón,es ESP,DF,27-100,5.7,11,1.93,6,3,0,2,0,0,3,0.53,0,1,0,2,0,0,Brentford
401,Rico Henry,eng ENG,DF,26-261,4.5,13,2.92,10,0,3,0,0,0,3,0.67,2,0,1,0,0,0,Brentford
402,Yehor Yarmoliuk,ua UKR,MF,20-024,5.2,9,1.72,8,0,0,0,1,0,1,0.19,1,0,0,0,0,0,Brentford
403,Kevin Schade,de GER,"FW,MF",22-119,2.9,8,2.8,5,0,0,1,2,0,2,0.7,1,0,0,0,1,0,Brentford
404,Mikkel Damsgaard,dk DEN,MF,23-266,4.0,14,3.49,8,3,0,2,1,0,2,0.5,1,0,0,0,1,0,Brentford
405,Shandon Baptiste,gd GRN,MF,25-352,2.5,5,1.96,4,0,1,0,0,0,1,0.39,1,0,0,0,0,0,Brentford
406,Thomas Strakosha,al ALB,GK,29-006,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Brentford
407,Michael Olakigbe,eng ENG,"DF,FW",19-335,0.7,3,4.58,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Brentford
408,Josh Dasilva,eng ENG,"DF,FW",25-154,0.3,1,3.75,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Brentford
409,Myles Peart-Harris,eng ENG,"DF,MF",21-189,0.1,1,6.92,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Brentford
410,Jordan Pickford,eng ENG,GK,30-018,28.0,20,0.71,11,9,0,0,0,0,0,0.0,0,0,0,0,0,0,Everton
411,James Tarkowski,eng ENG,DF,31-127,28.0,32,1.14,26,0,1,4,0,1,2,0.07,2,0,0,0,0,0,Everton
412,James Garner,eng ENG,MF,23-012,25.7,84,3.27,46,21,3,6,3,5,8,0.31,3,1,0,1,1,2,Everton
413,Jarrad Branthwaite,eng ENG,DF,21-272,25.0,16,0.64,13,0,0,1,2,0,1,0.04,1,0,0,0,0,0,Everton
414,Vitaliy Mykolenko,ua UKR,DF,24-301,22.9,33,1.44,28,0,1,4,0,0,2,0.09,0,0,0,2,0,0,Everton
415,Dwight McNeil,eng ENG,"MF,FW",24-124,22.4,85,3.8,56,18,4,1,4,2,4,0.18,1,3,0,0,0,0,Everton
416,Abdoulaye Doucouré,ml MLI,"FW,MF",31-084,20.4,54,2.64,46,0,0,6,1,1,4,0.2,2,0,0,2,0,0,Everton
417,Jack Harrison,eng ENG,"MF,FW",27-126,19.2,50,2.6,35,2,2,5,5,1,6,0.31,4,0,0,1,1,0,Everton
418,Dominic Calvert-Lewin,eng ENG,FW,27-009,17.6,38,2.16,30,0,0,5,2,1,4,0.23,1,0,0,3,0,0,Everton
419,Ashley Young,eng ENG,"DF,MF",38-260,17.0,44,2.59,29,8,0,4,2,1,0,0.0,0,0,0,0,0,0,Everton
420,Amadou Onana,be BEL,MF,22-222,18.5,50,2.71,42,0,1,3,4,0,0,0.0,0,0,0,0,0,0,Everton
421,Idrissa Gana Gueye,sn SEN,MF,34-181,14.5,38,2.62,26,0,0,5,2,5,3,0.21,3,0,0,0,0,0,Everton
422,Nathan Patterson,sct SCO,DF,22-161,10.7,19,1.78,13,3,0,1,0,2,2,0.19,2,0,0,0,0,0,Everton
423,Ben Godfrey,eng ENG,DF,26-070,7.4,15,2.01,8,1,0,4,0,2,2,0.27,1,0,0,0,0,1,Everton
424,Beto,gw GNB,FW,26-054,8.3,31,3.74,19,0,6,3,1,2,1,0.12,1,0,0,0,0,0,Everton
425,Arnaut Danjuma,nl NED,"MF,FW",27-054,6.6,18,2.72,9,0,1,5,2,1,1,0.15,0,0,0,1,0,0,Everton
426,Michael Keane,eng ENG,DF,31-074,4.5,4,0.89,3,0,0,1,0,0,1,0.22,0,0,0,1,0,0,Everton
427,Séamus Coleman,ie IRL,DF,35-166,2.6,2,0.77,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Everton
428,Alex Iwobi,ng NGA,MF,27-327,1.6,12,7.77,6,1,2,3,0,0,0,0.0,0,0,0,0,0,0,Everton
429,Lewis Dobbin,eng ENG,MF,21-082,2.3,6,2.57,3,0,0,2,1,0,0,0.0,0,0,0,0,0,0,Everton
430,André Gomes,pt POR,"MF,FW",30-239,2.2,7,3.15,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Everton
431,Neal Maupay,fr FRA,FW,27-224,1.2,3,2.41,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Everton
432,Youssef Chermiti,pt POR,FW,19-306,0.8,3,3.91,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Everton
433,Thomas Cannon,ie IRL,FW,21-088,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Everton
434,Tyler Onyango,eng ENG,MF,21-021,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Everton
435,Thomas Kaminski,be BEL,GK,31-154,29.0,1,0.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Luton Town
436,Alfie Doughty,eng ENG,DF,24-095,23.7,90,3.8,42,40,3,4,1,0,13,0.55,5,5,1,2,0,0,Luton Town
437,Carlton Morris,eng ENG,"FW,MF",28-100,22.8,62,2.72,44,0,3,8,6,1,8,0.35,4,0,0,3,1,0,Luton Town
438,Ross Barkley,eng ENG,MF,30-111,21.8,86,3.94,52,11,11,6,3,3,9,0.41,5,2,0,1,1,0,Luton Town
439,Amari'i Bell,jm JAM,DF,29-325,19.1,25,1.31,22,0,0,0,2,1,3,0.16,3,0,0,0,0,0,Luton Town
440,Teden Mengi,eng ENG,DF,21-330,20.3,10,0.49,9,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Luton Town
441,Chiedozie Ogbene,ie IRL,"MF,DF",26-329,21.1,74,3.5,49,2,12,4,7,0,6,0.28,1,0,2,1,2,0,Luton Town
442,Issa Kaboré,bf BFA,DF,22-318,15.8,27,1.71,21,0,2,2,1,1,4,0.25,3,0,0,1,0,0,Luton Town
443,Gabriel Osho,ng NGA,DF,25-224,15.5,4,0.26,3,0,1,0,0,0,2,0.13,2,0,0,0,0,0,Luton Town
444,Tom Lockyer,wls WAL,DF,29-113,13.0,10,0.77,9,0,0,0,0,1,1,0.08,1,0,0,0,0,0,Luton Town
445,Elijah Adebayo,eng ENG,FW,26-078,12.9,26,2.02,18,0,3,4,1,0,3,0.23,1,0,0,2,0,0,Luton Town
446,Marvelous Nakamba,zw ZIM,MF,30-066,12.6,13,1.03,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Luton Town
447,Reece Burke,eng ENG,DF,27-205,12.5,16,1.28,10,1,0,5,0,0,3,0.24,2,0,0,1,0,0,Luton Town
448,Tahith Chong,nl NED,MF,24-112,14.2,37,2.6,24,0,2,2,7,2,4,0.28,2,0,0,2,0,0,Luton Town
449,Jacob Brown,sct SCO,"MF,FW",25-350,11.3,15,1.33,10,0,1,1,3,0,0,0.0,0,0,0,0,0,0,Luton Town
450,Albert Sambi Lokonga,be BEL,MF,24-155,9.7,18,1.86,15,0,0,1,1,1,2,0.21,2,0,0,0,0,0,Luton Town
451,Andros Townsend,eng ENG,"MF,FW",32-253,9.7,29,2.99,17,5,3,3,1,0,5,0.52,3,0,1,1,0,0,Luton Town
452,Pelly Ruddock Mpanzu,cd COD,MF,30-252,10.2,18,1.77,12,1,1,1,2,1,0,0.0,0,0,0,0,0,0,Luton Town
453,Jordan Clark,eng ENG,MF,30-185,8.3,14,1.7,10,0,1,3,0,0,1,0.12,1,0,0,0,0,0,Luton Town
454,Ryan John Giles,eng ENG,"DF,MF",24-059,5.6,12,2.15,8,3,1,0,0,0,0,0.0,0,0,0,0,0,0,Luton Town
455,Mads Juel Andersen,dk DEN,DF,26-089,4.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Luton Town
456,Cauley Woodrow,eng ENG,"FW,MF",29-114,3.3,11,3.34,8,0,1,2,0,0,1,0.3,1,0,0,0,0,0,Luton Town
457,Daiki Hashioka,jp JPN,DF,24-313,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Luton Town
458,Luke Berry,eng ENG,"MF,DF",31-257,0.8,1,1.32,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Luton Town
459,Zack Nelson,eng ENG,MF,19-183,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Luton Town
460,Morgan Gibbs-White,eng ENG,"MF,FW",24-058,26.5,106,4.0,58,29,7,5,6,1,11,0.42,8,2,0,1,0,0,Nott'ham Forest
461,Murillo,br BRA,DF,21-265,22.2,18,0.81,11,0,4,3,0,0,1,0.05,1,0,0,0,0,0,Nott'ham Forest
462,Anthony Elanga,se SWE,"FW,MF",21-333,21.5,52,2.42,39,0,4,6,2,1,9,0.42,8,0,0,0,0,1,Nott'ham Forest
463,Orel Mangala,be BEL,MF,26-007,17.4,20,1.15,17,0,0,0,1,2,2,0.12,1,0,0,0,0,1,Nott'ham Forest
464,Nicolás Domínguez,ar ARG,"MF,FW",25-271,15.0,35,2.33,33,0,0,2,0,0,2,0.13,2,0,0,0,0,0,Nott'ham Forest
465,Matt Turner,us USA,GK,29-275,17.0,4,0.24,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Nott'ham Forest
466,Ryan Yates,eng ENG,MF,26-125,15.8,18,1.14,15,0,0,2,1,0,1,0.06,1,0,0,0,0,0,Nott'ham Forest
467,Harry Toffolo,eng ENG,DF,28-219,14.7,25,1.7,16,7,0,2,0,0,4,0.27,4,0,0,0,0,0,Nott'ham Forest
468,Willy Boly,ci CIV,DF,33-051,12.1,10,0.83,8,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Nott'ham Forest
469,Moussa Niakhate,sn SEN,DF,28-017,12.9,9,0.7,6,3,0,0,0,0,0,0.0,0,0,0,0,0,0,Nott'ham Forest
470,Neco Williams,wls WAL,DF,22-347,12.9,21,1.63,15,1,1,2,1,1,3,0.23,2,0,1,0,0,0,Nott'ham Forest
471,Danilo,br BRA,"MF,FW",22-331,12.5,21,1.68,17,1,1,1,1,0,2,0.16,2,0,0,0,0,0,Nott'ham Forest
472,Taiwo Awoniyi,ng NGA,FW,26-226,11.4,29,2.55,21,0,2,0,4,2,6,0.53,5,0,1,0,0,0,Nott'ham Forest
473,Ola Aina,ng NGA,DF,27-169,11.0,17,1.55,12,2,1,0,1,1,1,0.09,1,0,0,0,0,0,Nott'ham Forest
474,Ibrahim Sangaré,ci CIV,MF,26-114,10.4,17,1.63,14,0,0,1,1,1,2,0.19,2,0,0,0,0,0,Nott'ham Forest
475,Callum Hudson-Odoi,eng ENG,"FW,MF",23-139,12.1,53,4.4,39,3,7,2,2,0,6,0.5,4,0,1,0,1,0,Nott'ham Forest
476,Chris Wood,nz NZL,FW,32-109,11.5,25,2.17,18,0,4,3,0,0,4,0.35,1,0,3,0,0,0,Nott'ham Forest
477,Serge Aurier,ci CIV,"DF,MF",31-092,9.3,15,1.62,12,1,1,0,1,0,2,0.22,2,0,0,0,0,0,Nott'ham Forest
478,Matz Sels,be BEL,GK,32-028,7.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Nott'ham Forest
479,Gonzalo Montiel,ar ARG,DF,27-084,5.5,9,1.63,8,0,0,1,0,0,2,0.36,2,0,0,0,0,0,Nott'ham Forest
480,Andrew Omobamidele,ie IRL,DF,21-276,5.5,2,0.36,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Nott'ham Forest
481,Divock Origi,be BEL,FW,28-342,5.2,13,2.48,10,1,1,1,0,0,2,0.38,2,0,0,0,0,0,Nott'ham Forest
482,Nuno Tavares,pt POR,DF,24-059,5.1,9,1.78,8,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Nott'ham Forest
483,Odisseas Vlachodimos,gr GRE,GK,29-334,5.0,1,0.2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Nott'ham Forest
484,Joe Worrall,eng ENG,DF,27-075,4.9,3,0.62,2,0,0,1,0,0,1,0.21,1,0,0,0,0,0,Nott'ham Forest
485,Scott McKenna,sct SCO,DF,27-134,4.6,2,0.43,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Nott'ham Forest
486,Felipe,br BRA,DF,34-314,3.2,4,1.27,2,0,0,1,0,1,0,0.0,0,0,0,0,0,0,Nott'ham Forest
487,Brennan Johnson,wls WAL,"FW,MF",22-307,2.6,7,2.66,3,0,2,1,1,0,3,1.14,1,0,1,0,1,0,Nott'ham Forest
488,Cheikhou Kouyaté,sn SEN,MF,34-095,2.3,8,3.44,5,0,0,2,0,1,1,0.43,1,0,0,0,0,0,Nott'ham Forest
489,Gio Reyna,us USA,"MF,FW",21-133,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Nott'ham Forest
490,Andrey Santos,br BRA,MF,19-327,0.1,2,22.5,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Nott'ham Forest
491,Brandon Aguilera,cr CRC,FW,20-271,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Nott'ham Forest
492,Rodrigo Ribeiro,pt POR,FW,18-332,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Nott'ham Forest
493,James Trafford,eng ENG,GK,21-167,28.0,7,0.25,3,4,0,0,0,0,1,0.04,0,1,0,0,0,0,Burnley
494,Sander Berge,no NOR,MF,26-040,24.4,43,1.76,42,0,0,0,1,0,5,0.21,5,0,0,0,0,0,Burnley
495,Zeki Amdouni,ch SUI,FW,23-112,19.8,43,2.17,26,0,5,6,4,2,3,0.15,1,0,2,0,0,0,Burnley
496,Dara O'Shea,ie IRL,DF,25-021,24.4,22,0.9,19,0,0,2,0,1,5,0.2,5,0,0,0,0,0,Burnley
497,Josh Brownhill,eng ENG,MF,28-097,22.5,59,2.62,33,18,1,3,3,1,4,0.18,3,1,0,0,0,0,Burnley
498,Charlie Taylor,eng ENG,DF,30-189,20.1,25,1.24,22,0,0,2,1,0,2,0.1,1,0,0,1,0,0,Burnley
499,Vitinho,br BRA,"DF,MF",24-246,18.8,34,1.81,27,2,3,1,1,0,4,0.21,3,0,0,0,1,0,Burnley
500,Wilson Odobert,fr FRA,"MF,FW",19-118,14.7,44,3.0,30,0,7,4,3,0,3,0.2,3,0,0,0,0,0,Burnley
501,Jordan Beyer,de GER,DF,23-311,13.7,10,0.73,10,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Burnley
502,Josh Cullen,ie IRL,MF,27-353,14.0,34,2.43,31,2,0,0,1,0,3,0.21,3,0,0,0,0,0,Burnley
503,Lyle Foster,za RSA,FW,23-204,12.6,21,1.67,18,0,1,1,1,0,4,0.32,4,0,0,0,0,0,Burnley
504,Luca Koleosho,it ITA,"MF,FW",19-192,10.8,28,2.59,12,0,11,2,3,0,6,0.56,2,0,3,0,1,0,Burnley
505,Ameen Al-Dakhil,be BEL,DF,22-019,11.7,8,0.68,5,0,1,2,0,0,1,0.09,1,0,0,0,0,0,Burnley
506,Jóhann Berg Guðmundsson,is ISL,MF,33-150,11.7,43,3.69,25,15,0,1,2,0,4,0.34,3,1,0,0,0,0,Burnley
507,Connor Roberts,wls WAL,DF,28-184,9.1,18,1.97,13,5,0,0,0,0,3,0.33,3,0,0,0,0,0,Burnley
508,Jay Rodriguez,eng ENG,FW,34-240,8.1,11,1.36,7,0,1,3,0,0,1,0.12,1,0,0,0,0,0,Burnley
509,Jacob Bruun Larsen,dk DEN,"MF,FW",25-188,7.4,28,3.79,23,4,0,1,0,0,0,0.0,0,0,0,0,0,0,Burnley
510,Lorenz Assignon,tg TOG,DF,23-277,6.9,12,1.75,9,2,1,0,0,0,1,0.15,1,0,0,0,0,0,Burnley
511,David Datro Fofana,ci CIV,FW,21-094,6.6,11,1.66,3,0,4,3,0,1,2,0.3,0,0,2,0,0,0,Burnley
512,Maxime Estève,fr FRA,DF,21-304,6.1,1,0.17,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Burnley
513,Hannes Delcroix,be BEL,DF,25-026,6.5,7,1.07,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Burnley
514,Aaron Ramsey,eng ENG,"MF,FW",21-064,5.9,5,0.85,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Burnley
515,Hjalmar Ekdal,se SWE,DF,25-156,3.6,2,0.55,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Burnley
516,Mike Trésor,be BEL,"FW,MF",24-302,4.5,9,2.0,3,5,1,0,0,0,0,0.0,0,0,0,0,0,0,Burnley
517,Anass Zaroury,ma MAR,"FW,MF",23-139,1.7,2,1.18,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Burnley
518,Benson Manuel,be BEL,"MF,FW",26-363,1.0,6,5.93,3,0,2,0,1,0,0,0.0,0,0,0,0,0,0,Burnley
519,Arijanet Muric,xk KVX,GK,25-139,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Burnley
520,Nathan Redmond,eng ENG,"FW,MF",30-019,1.6,8,5.07,6,0,1,0,1,0,1,0.63,1,0,0,0,0,0,Burnley
521,Michael Obafemi,ie IRL,"FW,MF",23-263,0.2,1,4.29,1,0,0,0,0,0,1,4.29,1,0,0,0,0,0,Burnley
522,Jack Cork,eng ENG,MF,34-274,0.2,1,4.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Burnley
523,Han-Noah Massengo,fr FRA,"MF,DF",22-262,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Burnley
524,Jack Robinson,eng ENG,DF,30-206,25.8,17,0.66,9,5,0,2,0,1,1,0.04,0,1,0,0,0,0,Sheffield Utd
525,Vinicius Souza,br BRA,MF,24-282,24.1,20,0.83,17,0,0,1,0,2,3,0.12,2,0,0,1,0,0,Sheffield Utd
526,Wes Foderingham,eng ENG,GK,33-071,24.4,2,0.08,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Sheffield Utd
527,Gustavo Hamer,nl NED,MF,26-275,22.9,75,3.27,48,15,5,6,1,0,6,0.26,5,0,1,0,0,0,Sheffield Utd
528,Jayden Bogle,eng ENG,DF,23-242,21.3,21,0.99,18,0,0,1,2,0,1,0.05,0,0,0,1,0,0,Sheffield Utd
529,Anel Ahmedhodžić,ba BIH,DF,24-365,20.4,19,0.93,16,0,0,3,0,0,1,0.05,0,0,0,1,0,0,Sheffield Utd
530,Auston Trusty,us USA,DF,25-226,19.7,8,0.41,6,1,1,0,0,0,0,0.0,0,0,0,0,0,0,Sheffield Utd
531,James Mcatee,eng ENG,"MF,FW",21-159,17.4,46,2.64,36,2,4,2,2,0,1,0.06,1,0,0,0,0,0,Sheffield Utd
532,Cameron Archer,eng ENG,"FW,MF",22-248,16.1,36,2.24,23,0,7,4,1,1,2,0.12,0,0,1,1,0,0,Sheffield Utd
533,Oliver Norwood,nir NIR,MF,32-348,15.6,30,1.92,17,12,0,1,0,0,1,0.06,1,0,0,0,0,0,Sheffield Utd
534,George Baldock,gr GRE,DF,31-016,10.8,16,1.49,10,3,2,0,1,0,2,0.19,1,0,0,0,1,0,Sheffield Utd
535,Luke Thomas,eng ENG,DF,22-289,10.2,10,0.98,8,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Sheffield Utd
536,Oliver McBurnie,sct SCO,FW,27-295,10.1,21,2.09,16,0,0,2,3,0,4,0.4,3,0,0,0,1,0,Sheffield Utd
537,William Osula,dk DEN,FW,20-234,8.1,11,1.36,3,0,0,5,3,0,1,0.12,0,0,0,1,0,0,Sheffield Utd
538,Andre Brooks,eng ENG,"MF,DF",20-218,7.2,5,0.69,2,0,2,1,0,0,0,0.0,0,0,0,0,0,0,Sheffield Utd
539,Ben Osborn,eng ENG,"DF,MF",29-233,7.8,11,1.4,11,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Sheffield Utd
540,John Egan,ie IRL,DF,31-157,5.4,1,0.19,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Sheffield Utd
541,Yasser Larouci,dz ALG,DF,23-084,4.7,7,1.5,4,1,1,1,0,0,0,0.0,0,0,0,0,0,0,Sheffield Utd
542,Anis Ben Slimane,tn TUN,MF,23-009,4.1,8,1.97,6,0,1,0,0,1,0,0.0,0,0,0,0,0,0,Sheffield Utd
543,Ivo Grbić,hr CRO,GK,28-067,3.6,2,0.56,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Sheffield Utd
544,Ben Brereton,cl CHI,"MF,FW",24-342,2.8,6,2.13,5,0,1,0,0,0,2,0.71,1,0,1,0,0,0,Sheffield Utd
545,Max Lowe,eng ENG,"DF,MF",26-319,4.4,4,0.9,3,0,0,1,0,0,1,0.23,1,0,0,0,0,0,Sheffield Utd
546,Bénie Adama Traore,ci CIV,"FW,MF",21-116,4.3,6,1.4,6,0,0,0,0,0,1,0.23,1,0,0,0,0,0,Sheffield Utd
547,Chris Basham,eng ENG,"DF,MF",35-249,3.6,3,0.84,1,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Sheffield Utd
548,Rhian Brewster,eng ENG,"FW,MF",23-359,3.4,6,1.76,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Sheffield Utd
549,Mason Holgate,eng ENG,DF,27-155,2.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Sheffield Utd
550,Tom Davies,eng ENG,MF,25-269,2.5,6,2.44,4,0,0,1,0,1,1,0.41,0,0,0,0,0,1,Sheffield Utd
551,Rhys Norrington-Davies,wls WAL,DF,24-338,1.2,1,0.82,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Sheffield Utd
552,Oliver Arblaster,eng ENG,MF,19-325,1.2,3,2.55,2,0,0,1,0,0,1,0.85,0,0,0,1,0,0,Sheffield Utd
553,John Fleck,sct SCO,"MF,DF",32-214,1.0,4,3.91,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Sheffield Utd
554,Antwoine Hackford,eng ENG,FW,20-005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Sheffield Utd
555,Sydie Peck,eng ENG,MF,19-194,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Sheffield Utd
556,Ryan One,sct SCO,FW,17-273,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Sheffield Utd
557,William Saliba,fr FRA,DF,23-001,28.0,23,0.82,22,0,0,1,0,0,3,0.11,3,0,0,0,0,0,Arsenal
558,Declan Rice,eng ENG,MF,25-071,26.6,68,2.56,53,9,2,2,0,2,7,0.26,3,4,0,0,0,0,Arsenal
559,Bukayo Saka,eng ENG,FW,22-202,25.1,148,5.89,107,22,6,9,3,1,17,0.68,12,2,1,1,1,0,Arsenal
560,Martin Ødegaard,no NOR,MF,25-099,24.5,154,6.28,126,13,6,5,4,0,14,0.57,10,2,0,1,1,0,Arsenal
561,Ben White,eng ENG,DF,26-169,23.7,54,2.28,48,3,0,1,0,2,5,0.21,4,0,0,1,0,0,Arsenal
562,Gabriel Dos Santos,br BRA,DF,26-097,24.2,18,0.74,16,1,0,1,0,0,1,0.04,1,0,0,0,0,0,Arsenal
563,Gabriel Martinelli,br BRA,FW,22-281,19.4,81,4.17,53,6,11,8,1,2,11,0.57,7,1,1,2,0,0,Arsenal
564,David Raya,es ESP,GK,28-192,22.0,3,0.14,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Arsenal
565,Kai Havertz,de GER,"MF,FW",24-288,19.8,65,3.29,54,0,2,4,4,1,14,0.71,9,0,2,2,1,0,Arsenal
566,Oleksandr Zinchenko,ua UKR,DF,27-101,16.0,55,3.44,52,1,1,1,0,0,6,0.37,5,1,0,0,0,0,Arsenal
567,Gabriel Jesus,br BRA,FW,26-357,12.7,42,3.31,27,1,5,5,2,2,6,0.47,3,1,1,1,0,0,Arsenal
568,Eddie Nketiah,eng ENG,FW,24-300,11.7,27,2.31,16,0,3,5,3,0,8,0.68,3,0,1,1,3,0,Arsenal
569,Leandro Trossard,be BEL,"FW,MF",29-112,11.3,44,3.88,29,3,6,2,4,0,6,0.53,1,1,2,0,2,0,Arsenal
570,Jakub Kiwior,pl POL,DF,24-039,8.8,10,1.14,8,2,0,0,0,0,4,0.46,3,1,0,0,0,0,Arsenal
571,Jorginho,it ITA,MF,32-096,8.1,20,2.48,19,0,0,1,0,0,4,0.5,4,0,0,0,0,0,Arsenal
572,Aaron Ramsdale,eng ENG,GK,25-316,6.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Arsenal
573,Takehiro Tomiyasu,jp JPN,DF,25-141,7.0,11,1.56,11,0,0,0,0,0,2,0.28,2,0,0,0,0,0,Arsenal
574,Thomas Partey,gh GHA,"DF,MF",30-286,3.1,10,3.24,10,0,0,0,0,0,2,0.65,2,0,0,0,0,0,Arsenal
575,Fabio Vieira,pt POR,"MF,FW",23-300,3.2,11,3.46,6,1,0,1,3,0,5,1.57,1,1,0,0,3,0,Arsenal
576,Emile Smith Rowe,eng ENG,MF,23-241,2.6,8,3.06,6,1,0,0,1,0,2,0.77,1,1,0,0,0,0,Arsenal
577,Jurriën Timber,nl NED,DF,22-282,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Arsenal
578,Reiss Nelson,eng ENG,"FW,MF",24-106,2.2,7,3.25,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Arsenal
579,Cédric Soares,pt POR,DF,32-207,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Arsenal
580,Mohamed Elneny,eg EGY,MF,31-258,0.3,1,3.21,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Arsenal
581,Ethan Nwaneri,eng ENG,FW,17-004,0.2,1,6.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Arsenal
582,Virgil van Dijk,nl NED,DF,32-261,25.3,45,1.78,42,0,0,3,0,0,3,0.12,3,0,0,0,0,0,Liverpool
