Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Team
743,Maxwel Cornet,ci CIV,"MF,FW",27-180,1.2,1,4,1,25.0,3.43,0.86,0.25,1.0,12.5,0,0,0,0.4,0.4,0.1,0.6,0.6,West Ham
744,Divin Mubama,eng ENG,FW,19-152,0.9,0,1,0,0.0,1.13,0.0,0.0,,12.5,0,0,0,0.1,0.1,0.15,-0.1,-0.1,West Ham
745,Thilo Kehrer,de GER,"DF,MF",27-186,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,West Ham
746,Pascal Groß,de GER,"MF,DF",32-284,24.6,4,44,15,34.1,1.79,0.61,0.07,0.2,19.5,4,1,1,5.3,4.6,0.1,-1.3,-1.6,Brighton
747,Lewis Dunk,eng ENG,DF,32-125,23.4,3,29,9,31.0,1.24,0.38,0.1,0.33,13.7,4,0,0,2.9,2.9,0.1,0.1,0.1,Brighton
748,Jan Paul van Hecke,nl NED,DF,23-291,21.3,0,13,6,46.2,0.61,0.28,0.0,0.0,10.2,0,0,0,1.1,1.1,0.09,-1.1,-1.1,Brighton
749,Billy Gilmour,sct SCO,MF,22-288,19.8,0,23,5,21.7,1.16,0.25,0.0,0.0,25.7,0,0,0,0.9,0.9,0.04,-0.9,-0.9,Brighton
750,Simon Adingra,ci CIV,FW,22-084,16.1,6,33,15,45.5,2.05,0.93,0.18,0.4,16.1,0,0,0,3.1,3.1,0.1,2.9,2.9,Brighton
751,Kaoru Mitoma,jp JPN,FW,26-310,16.5,3,34,15,44.1,2.06,0.91,0.09,0.2,13.2,0,0,0,3.5,3.5,0.1,-0.5,-0.5,Brighton
752,Evan Ferguson,ie IRL,FW,19-158,15.1,6,33,20,60.6,2.19,1.32,0.18,0.3,15.5,0,0,0,4.6,4.6,0.14,1.4,1.4,Brighton
753,Jason Steele,eng ENG,GK,33-220,15.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Brighton
754,Danny Welbeck,eng ENG,"FW,MF",33-120,11.4,3,28,12,42.9,2.45,1.05,0.11,0.25,15.8,1,0,0,3.6,3.6,0.13,-0.6,-0.6,Brighton
755,Bart Verbruggen,nl NED,GK,21-220,13.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Brighton
756,João Pedro,br BRA,"FW,MF",22-181,15.5,8,44,15,34.1,2.84,0.97,0.09,0.27,15.0,0,4,4,8.4,5.2,0.12,-0.4,-1.2,Brighton
757,Pervis Estupiñán,ec ECU,DF,26-064,11.7,2,10,6,60.0,0.86,0.51,0.2,0.33,18.8,0,0,0,0.9,0.9,0.09,1.1,1.1,Brighton
758,Facundo Buonanotte,ar ARG,"MF,FW",19-093,10.5,3,16,6,37.5,1.53,0.57,0.19,0.5,16.9,0,0,0,1.9,1.9,0.12,1.1,1.1,Brighton
759,Joël Veltman,nl NED,DF,32-070,12.6,0,2,2,100.0,0.16,0.16,0.0,0.0,20.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Brighton
760,Igor,br BRA,DF,26-047,11.1,0,2,0,0.0,0.18,0.0,0.0,,16.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Brighton
761,James Milner,eng ENG,"DF,MF",38-081,8.6,0,5,1,20.0,0.58,0.12,0.0,0.0,17.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Brighton
762,Adam Lallana,eng ENG,MF,35-320,7.4,0,5,2,40.0,0.68,0.27,0.0,0.0,18.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Brighton
763,Adam Webster,eng ENG,DF,29-081,8.5,0,5,0,0.0,0.59,0.0,0.0,,10.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Brighton
764,Carlos Baleba,cm CMR,MF,20-082,8.5,0,12,2,16.7,1.41,0.24,0.0,0.0,23.9,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Brighton
765,Jack Hinshelwood,eng ENG,DF,18-349,9.7,3,14,8,57.1,1.45,0.83,0.21,0.38,9.2,0,0,0,1.9,1.9,0.14,1.1,1.1,Brighton
766,Tariq Lamptey,gh GHA,"DF,FW",23-177,6.6,0,5,0,0.0,0.76,0.0,0.0,,19.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Brighton
767,Solly March,eng ENG,"FW,DF",29-249,6.2,3,14,6,42.9,2.27,0.97,0.21,0.5,16.6,1,0,0,2.0,2.0,0.14,1.0,1.0,Brighton
768,Mahmoud Dahoud,de GER,MF,28-084,5.0,0,6,1,16.7,1.19,0.2,0.0,0.0,26.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Brighton
769,Ansu Fati,es ESP,"MF,FW",21-146,5.3,2,23,10,43.5,4.35,1.89,0.09,0.2,14.3,0,0,0,3.3,3.3,0.14,-1.3,-1.3,Brighton
770,Julio Enciso,py PAR,"MF,FW",20-062,1.6,0,10,3,30.0,6.12,1.84,0.0,0.0,21.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Brighton
771,Jakub Moder,pl POL,"MF,DF",24-353,2.5,0,4,1,25.0,1.63,0.41,0.0,0.0,11.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Brighton
772,Benicio Boaitey,eng ENG,"DF,FW",20-076,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Brighton
