Player,Tkl,TklW,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Team,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Cmp,Cmp%,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,PPA,CrsPA,PrgP,Touches,Def Pen,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,PrgC,CPA,Mis,Dis,Rec,PrgR,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Nation,Pos,Age,90s,Def 3rd,Mid 3rd,Att 3rd,TotDist,PrgDist,1/3,Country
Son Heung-min,15,9,7,43.8,9,3,2,7,22,4,0,Tottenham,87,3.78,70,0,9,2,1,13,0.56,9,0,3,0,1,0,592,81.3,342,401,85.3,206,235,87.7,18,29,62.1,8,8.1,6.3,-0.1,45,44,2,99,929,7,148,928,62,27,43.5,33,53.2,637,73,42,39,26,753,236,14,60,28,46.7,2.6,1.22,0.22,0.46,15,0,1,1,8,7.3,0.12,6,5.7,KOR,FW,31,23,5,5,5,8273,2090,32,South Korea
Destiny Udogie,63,29,25,54.3,21,23,17,34,97,70,4,Tottenham,50,2.22,44,0,4,0,0,7,0.31,6,0,0,1,0,0,1035,85.3,650,710,91.5,334,387,86.3,17,28,60.7,3,2.1,1.9,0.9,22,12,0,134,1512,82,64,1512,53,21,39.6,24,45.3,836,73,18,42,20,874,119,2,8,4,50,0.35,0.18,0.25,0.5,9.2,0,0,0,2.3,2.3,0.29,-0.3,-0.3,ITA,DF,21,22.6,39,15,9,14051,4300,96,Italy
Cristian Romero,48,32,23,76.7,7,30,17,34,82,77,1,Tottenham,25,1.19,21,2,0,0,1,1,0.05,1,0,0,0,0,0,1665,92,675,728,92.7,888,923,96.2,81,112,72.3,0,0.4,1.1,-0.4,6,9,0,126,2031,241,18,2031,7,4,57.1,1,14.3,1374,24,0,9,4,1453,4,4,13,5,38.5,0.62,0.24,0.31,0.8,11.1,0,0,0,1.6,1.6,0.13,2.4,2.4,ARG,DF,25,21,30,17,1,29050,11542,127,Argentina
Pape Matar Sarr,26,18,12,44.4,15,14,10,17,43,18,0,Tottenham,42,2.55,33,0,0,2,4,7,0.42,6,0,0,1,0,0,847,86.7,474,517,91.7,288,323,89.2,42,60,70,3,2,1.5,1,17,13,1,113,1150,41,32,1150,33,15,45.5,16,48.5,780,32,3,27,9,875,62,3,29,12,41.4,1.76,0.73,0.1,0.25,17.3,0,0,0,2.6,2.6,0.09,0.4,0.4,SEN,MF,21,16.5,9,13,4,12497,3143,92,Senegal
Yves Bissouma,62,40,32,69.6,14,23,18,29,91,36,3,Tottenham,33,1.92,25,1,3,0,4,2,0.12,2,0,0,0,0,0,1286,92,718,761,94.3,470,503,93.4,46,58,79.3,0,0.3,1.4,-0.3,7,9,0,121,1624,76,17,1624,44,26,59.1,10,22.7,1045,34,7,25,26,1257,9,0,18,4,22.2,1.05,0.23,0,0,25.1,1,0,0,1.2,1.2,0.07,-1.2,-1.2,MLI,MF,27,17.2,26,28,8,19048,5362,111,Mali
Micky van de Ven,31,22,15,71.4,6,12,3,13,44,55,0,Tottenham,6,0.35,6,0,0,0,0,0,0,0,0,0,0,0,0,1165,95.3,453,464,97.6,613,639,95.9,74,88,84.1,0,0,0.2,0,1,2,0,69,1359,160,7,1359,20,11,55,7,35,981,11,0,8,8,1017,2,1,5,1,20,0.29,0.06,0.2,1,16.9,0,0,0,0.3,0.3,0.07,0.7,0.7,NED,DF,22,17,22,6,3,20597,6754,82,Netherlands
James Maddison,24,12,12,52.2,11,11,9,9,33,7,1,Tottenham,114,7.03,74,16,7,8,3,15,0.92,9,1,2,1,1,1,789,79.5,403,440,91.6,306,382,80.1,62,121,51.2,7,4,4.6,3,44,44,1,153,1159,17,73,1159,58,23,39.7,24,41.4,834,42,20,23,25,944,101,4,40,19,47.5,2.47,1.17,0.1,0.21,18.9,2,0,0,4.2,4.2,0.1,-0.2,-0.2,ENG,MF,27,16.2,3,12,9,12932,4303,93,United Kingdom
Richarlison,16,11,2,22.2,7,32,26,8,24,21,0,Tottenham,30,1.99,21,0,3,1,1,4,0.27,4,0,0,0,0,0,242,67.6,138,171,80.7,78,111,70.3,10,15,66.7,3,1.8,1.2,1.2,14,12,1,33,602,31,111,602,36,10,27.8,23,63.9,362,23,13,46,36,418,100,10,58,23,39.7,3.85,1.53,0.17,0.43,13.3,0,0,0,8.8,8.8,0.15,1.2,1.2,BRA,FW,26,15.1,4,8,4,3469,857,16,Brazil
Brennan Johnson,19,12,10,41.7,14,24,24,6,25,12,1,Tottenham,40,2.82,30,0,2,3,1,8,0.56,6,0,0,1,0,1,298,69.8,177,222,79.7,103,141,73,12,26,46.2,6,4.6,2.7,1.4,25,21,5,45,601,13,96,601,45,16,35.6,26,57.8,395,56,31,26,10,443,164,4,33,15,45.5,2.33,1.06,0.12,0.27,13.7,0,0,0,5.8,5.8,0.18,-1.8,-1.8,WAL,FW,22,14.2,12,3,4,4398,1083,24,United Kingdom
Ben Davies,21,17,15,83.3,3,16,2,10,31,33,0,Tottenham,13,1.17,13,0,0,0,0,1,0.09,1,0,0,0,0,0,730,90.8,280,300,93.3,377,398,94.7,60,79,75.9,0,0.4,0.5,-0.4,4,4,0,71,918,93,21,918,9,3,33.3,6,66.7,569,12,1,2,3,657,18,1,12,2,16.7,1.08,0.18,0.08,0.5,11.8,0,0,0,2.3,2.3,0.19,-1.3,-1.3,WAL,DF,30,11.1,13,6,2,13349,5172,79,United Kingdom
Emerson,31,21,19,54.3,16,17,9,18,49,45,1,Tottenham,17,1.6,11,2,0,2,1,3,0.28,1,2,0,0,0,0,798,90.7,452,473,95.6,282,302,93.4,31,43,72.1,0,0.4,0.8,-0.4,2,6,2,44,1034,90,10,1034,18,8,44.4,6,33.3,603,20,1,12,11,699,31,1,5,3,60,0.47,0.28,0.2,0.33,21.4,0,0,0,0.2,0.2,0.03,0.8,0.8,BRA,DF,25,10.7,19,9,3,11623,3365,37,Brazil
Rodrigo Bentancur,14,8,6,42.9,8,9,7,5,19,11,0,Tottenham,13,2.19,10,0,1,0,2,2,0.34,1,0,0,0,0,1,339,82.7,177,203,87.2,138,156,88.5,14,23,60.9,0,0.3,0.6,-0.3,6,5,0,33,487,23,13,487,13,6,46.2,5,38.5,286,7,1,11,12,375,19,1,9,2,22.2,1.52,0.34,0.11,0.5,15.3,0,0,0,1,1,0.12,0,0,URU,MF,26,5.9,9,3,2,5214,1369,38,Uruguay
Pierre Højbjerg,23,13,10,35.7,18,19,12,14,37,27,1,Tottenham,27,2.39,24,0,2,0,0,2,0.18,2,0,0,0,0,0,918,87.8,485,535,90.7,326,351,92.9,74,103,71.8,0,0.9,1.3,-0.9,5,9,0,102,1182,49,13,1182,20,10,50,9,45,741,13,2,15,6,914,23,0,12,3,25,1.06,0.27,0,0,26.4,1,0,0,0.4,0.4,0.04,-0.4,-0.4,DEN,MF,28,11.3,8,13,2,14931,5510,119,Denmark
Timo Werner,3,1,2,25,6,1,1,3,6,0,0,Tottenham,20,4.06,14,0,3,0,0,5,1.02,5,0,0,0,0,0,169,79.3,101,115,87.8,63,76,82.9,3,8,37.5,2,1.5,1.2,0.5,9,11,2,26,259,1,39,259,14,9,64.3,5,35.7,202,48,23,7,2,208,73,2,20,6,30,4.06,1.22,0.1,0.33,14.1,0,0,0,2.7,2.7,0.13,-0.7,-0.7,GER,FW,28,4.9,2,1,0,2406,466,5,Germany
Oliver Skipp,15,10,8,57.1,6,11,10,1,16,7,0,Tottenham,13,2.01,12,0,0,0,0,1,0.15,1,0,0,0,0,0,282,91.3,165,173,95.4,94,100,94,14,19,73.7,0,0.6,0.3,-0.6,7,3,0,32,363,11,10,363,2,1,50,1,50,185,6,1,8,5,269,22,0,3,1,33.3,0.46,0.15,0,0,12.6,0,0,0,0.6,0.6,0.2,-0.6,-0.6,ENG,"MF,FW",23,6.5,7,5,3,4092,1123,35,United Kingdom
Giovani Lo Celso,16,8,7,70,3,3,2,4,20,2,0,Tottenham,17,3.6,14,2,0,0,0,3,0.64,3,0,0,0,0,0,342,89.3,191,205,93.2,115,125,92,21,29,72.4,2,0.9,1,1.1,12,10,1,52,432,9,14,432,12,7,58.3,2,16.7,275,21,0,8,7,347,23,2,9,5,55.6,1.91,1.06,0.22,0.4,22,0,0,0,0.4,0.4,0.05,1.6,1.6,ARG,MF,27,4.7,6,7,3,4997,1451,34,Argentina
Manor Solomon,3,3,1,50,1,4,4,3,6,2,0,Tottenham,19,8.59,16,0,1,1,0,2,0.9,2,0,0,0,0,0,78,86.7,45,48,93.8,28,35,80,3,4,75,2,0.8,0.8,1.2,12,7,1,11,125,1,20,125,17,10,58.8,7,41.2,92,17,9,5,2,92,44,0,7,1,14.3,3.17,0.45,0,0,16.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,ISR,FW,24,2.2,1,1,1,1105,196,3,Israel
Bryan Gil,1,0,1,33.3,2,3,3,3,4,4,0,Tottenham,7,3.21,6,0,0,0,0,1,0.46,1,0,0,0,0,0,113,80.7,61,73,83.6,48,55,87.3,1,2,50,0,0.1,0.2,-0.1,3,6,1,11,170,3,18,170,10,7,70,3,30,119,9,5,7,5,136,42,0,3,1,33.3,1.38,0.46,0,0,11.4,0,0,0,0.7,0.7,0.24,-0.7,-0.7,ESP,"FW,MF",23,2.2,0,0,1,1619,284,5,Spain
Eric Dier,2,1,2,100,0,3,0,2,4,12,0,Tottenham,2,0.9,2,0,0,0,0,0,0,0,0,0,0,0,0,125,88.7,52,57,91.2,69,72,95.8,3,10,30,0,0,0,0,0,0,0,3,164,38,2,164,0,0,0,0,0,97,0,0,1,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG,DF,30,2.2,2,0,0,2070,1037,3,United Kingdom
Radu Drăgușin,0,0,0,0,0,4,0,5,5,9,0,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,88.6,38,42,90.5,52,55,94.5,2,5,40,0,0,0,0,0,0,0,3,126,15,1,126,1,0,0,0,0,81,1,0,0,1,89,1,0,1,0,0,0.63,0,0,0,10.4,0,0,0,0.1,0.1,0.14,-0.1,-0.1,ROU,DF,22,1.6,0,0,0,1619,538,1,Romania
Ivan Perišić,3,2,3,60,2,1,1,2,5,1,0,Tottenham,8,6.99,6,1,1,0,0,2,1.75,1,1,0,0,0,0,53,69.7,31,39,79.5,14,22,63.6,7,13,53.8,1,0.9,0.7,0.1,5,6,2,9,93,3,10,93,7,4,57.1,3,42.9,65,15,6,2,0,74,17,0,2,0,0,1.75,0,0,0,13,0,0,0,0.1,0.1,0.06,-0.1,-0.1,CRO,FW,35,1.1,1,1,1,828,363,4,Croatia
Davinson Sánchez,0,0,0,0,0,3,1,1,1,2,0,Tottenham,1,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,68,90.7,37,38,97.4,27,29,93.1,3,6,50,0,0,0,0,0,0,0,2,83,8,1,83,0,0,0,0,0,68,0,0,1,0,66,0,0,1,0,0,1.17,0,0,0,8.6,0,0,0,0.1,0.1,0.12,-0.1,-0.1,COL,DF,27,0.9,0,0,0,1045,377,13,Colombia
Alejo Véliz,1,0,0,0,0,0,0,0,1,0,0,Tottenham,1,1.84,0,0,1,0,0,0,0,0,0,0,0,0,0,5,50,2,4,50,2,2,100,1,1,100,0,0,0,0,0,0,0,1,18,0,4,18,2,1,50,1,50,8,0,0,2,2,10,3,1,2,1,50,3.6,1.8,0.5,1,8.9,0,0,0,0.2,0.2,0.12,0.8,0.8,ARG,FW,20,0.6,1,0,0,91,5,0,Argentina
Jamie Donley,0,0,0,0,0,0,0,0,0,3,0,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,7,1,0,0,1,100,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG,FW,19,0,0,0,0,14,0,0,United Kingdom
Dane Scarlett,0,0,0,0,0,0,0,0,0,0,0,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG,FW,20,0,0,0,0,0,0,0,United Kingdom
André Onana,1,0,1,100,0,0,0,0,1,9,1,Manchester Utd,5,0.18,5,0,0,0,0,1,0.04,1,0,0,0,0,0,822,73.9,205,206,99.5,415,425,97.6,195,470,41.5,0,0.1,0.1,-0.1,3,2,0,5,1188,906,0,1188,0,0,0,0,0,815,1,0,1,0,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CMR,GK,27,28,1,0,0,20189,13649,28,Cameroon
Bruno Fernandes,56,33,26,33.8,51,35,31,20,76,36,1,Manchester Utd,162,6,111,33,7,1,2,16,0.59,10,3,2,1,0,0,1190,72,577,668,86.4,403,530,76,161,316,50.9,6,8.2,7,-2.2,82,66,8,223,1961,69,77,1958,41,18,43.9,20,48.8,1022,58,15,38,25,1293,137,4,68,24,35.3,2.52,0.89,0.03,0.08,22.5,11,2,3,7.2,4.9,0.07,-3.2,-2.9,POR,"MF,FW",29,27,22,20,14,21018,7568,136,Portugal
Diogo Dalot,56,36,35,72.9,13,34,22,27,83,84,0,Manchester Utd,55,2.18,47,2,2,1,1,5,0.2,4,0,0,1,0,0,1064,80.3,501,568,88.2,409,503,81.3,120,176,68.2,2,1.9,1.8,0.1,23,23,13,90,1590,145,37,1590,42,23,54.8,16,38.1,827,42,9,13,10,889,87,1,21,4,19,0.83,0.16,0.05,0.25,20.6,0,0,0,0.9,0.9,0.04,0.1,0.1,POR,DF,25,25.3,41,8,7,18394,5755,77,Portugal
Marcus Rashford,16,9,7,29.2,17,12,11,4,20,14,0,Manchester Utd,76,3.44,47,1,15,6,0,9,0.41,7,0,1,0,1,0,455,74,278,336,82.7,118,165,71.5,28,50,56,2,2.2,2.6,-0.2,19,29,1,58,854,19,119,852,98,44,44.9,46,46.9,583,86,59,47,33,667,161,7,57,18,31.6,2.58,0.81,0.09,0.28,16.9,1,2,2,7.1,5.5,0.1,-0.1,-0.5,ENG,FW,26,22.1,8,3,5,6281,1643,27,United Kingdom
Alejandro Garnacho,16,11,8,22.9,27,21,20,13,29,18,0,Manchester Utd,82,4.17,56,0,8,9,1,11,0.56,6,0,1,1,2,1,460,74.4,277,325,85.2,136,174,78.2,25,44,56.8,3,4.5,2.3,-1.5,37,17,3,47,922,12,169,922,96,36,37.5,48,50,643,118,66,50,35,684,192,5,66,16,24.2,3.36,0.81,0.08,0.31,15.7,0,0,0,5.7,5.6,0.09,-0.7,-0.6,ARG,FW,19,19.6,5,4,7,6414,995,21,Argentina
Rasmus Højlund,9,5,4,36.4,7,3,3,1,10,11,0,Manchester Utd,41,2.52,29,0,4,3,2,3,0.18,2,0,1,0,0,0,208,75.6,136,168,81,33,46,71.7,10,11,90.9,2,1.1,0.7,0.9,17,9,1,23,410,13,69,410,22,12,54.5,9,40.9,238,22,9,36,20,288,75,7,29,15,51.7,1.78,0.92,0.24,0.47,11.1,0,0,0,6.5,6.5,0.23,0.5,0.5,DEN,FW,21,16.3,2,2,5,2415,666,10,Denmark
Casemiro,50,29,30,47.6,33,47,30,11,61,40,0,Manchester Utd,22,1.68,18,2,0,1,0,1,0.08,1,0,0,0,0,0,634,82.6,320,352,90.9,238,286,83.2,51,83,61.4,1,0.6,0.6,0.4,11,11,2,71,978,84,24,978,13,6,46.2,6,46.2,542,8,0,10,12,644,28,1,26,6,23.1,1.99,0.46,0.04,0.17,17.9,1,0,0,2.4,2.4,0.09,-1.4,-1.4,BRA,MF,32,13.1,22,22,6,10461,3815,67,Brazil
Scott McTominay,40,19,16,61.5,10,27,17,11,51,40,0,Manchester Utd,21,1.28,15,0,1,0,1,2,0.12,1,0,0,0,0,1,404,81,222,258,86,143,169,84.6,27,37,73,1,0.7,0.4,0.3,8,9,0,52,709,57,43,709,17,8,47.1,7,41.2,362,19,4,22,13,432,36,7,35,17,48.6,2.14,1.04,0.2,0.41,14.1,0,0,0,5.1,5.1,0.15,1.9,1.9,SCO,"MF,FW",27,16.4,18,20,2,6207,1625,50,United Kingdom
Raphaël Varane,17,10,9,69.2,4,16,3,14,31,84,0,Manchester Utd,14,1,11,1,0,0,0,1,0.07,1,0,0,0,0,0,631,88.5,259,277,93.5,318,347,91.6,39,60,65,0,0.1,0.6,-0.1,1,4,0,54,862,154,11,862,2,1,50,1,50,499,15,0,5,2,522,2,1,8,2,25,0.57,0.14,0.13,0.5,9.2,0,0,0,1.3,1.3,0.16,-0.3,-0.3,FRA,DF,30,14,9,7,1,10859,3296,56,France
Kobbie Mainoo,24,15,9,42.9,12,13,5,13,37,25,1,Manchester Utd,21,1.71,16,0,3,0,0,4,0.33,1,0,2,1,0,0,409,84.7,222,251,88.4,150,169,88.8,19,34,55.9,0,0.4,0.9,-0.4,7,2,0,33,600,45,10,600,25,13,52,9,36,350,10,5,12,13,416,14,1,5,2,40,0.41,0.16,0.2,0.5,23.1,0,0,0,0.2,0.2,0.04,0.8,0.8,ENG,MF,18,12.3,9,11,4,6055,1451,20,United Kingdom
Victor Lindelöf,14,9,5,41.7,7,15,7,11,25,34,1,Manchester Utd,18,1.28,18,0,0,0,0,3,0.21,3,0,0,0,0,0,794,89,377,413,91.3,345,375,92,48,69,69.6,1,0.3,0.4,0.7,8,3,0,36,989,90,15,989,1,1,100,0,0,596,16,0,3,3,682,17,1,6,4,66.7,0.43,0.29,0.17,0.25,10.4,0,0,0,0.8,0.8,0.13,0.2,0.2,SWE,DF,29,14,7,7,0,12779,3507,58,Sweden
Harry Maguire,16,11,8,50,8,26,8,19,35,52,1,Manchester Utd,19,1.48,16,0,0,0,2,3,0.23,2,0,0,1,0,0,642,83.5,245,273,89.7,299,339,88.2,85,135,63,2,1.2,0.9,0.8,6,4,0,54,910,109,27,910,2,0,0,2,100,508,12,0,6,1,571,1,1,13,2,15.4,1.01,0.16,0.08,0.5,10.3,0,0,0,1.7,1.7,0.13,-0.7,-0.7,ENG,DF,31,12.9,9,7,0,12542,4505,64,United Kingdom
Jonny Evans,12,7,9,56.3,7,19,5,17,29,65,0,Manchester Utd,9,0.75,9,0,0,0,0,1,0.08,1,0,0,0,0,0,542,86.3,233,255,91.4,253,277,91.3,36,63,57.1,1,1.2,0.3,-0.2,5,3,0,32,765,143,8,765,6,4,66.7,1,16.7,422,5,0,5,3,464,1,0,1,0,0,0.08,0,0,0,5.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,NIR,DF,36,12.1,10,2,0,9086,3121,26,United Kingdom
Luke Shaw,11,8,9,60,6,18,7,6,17,39,0,Manchester Utd,23,2.16,13,9,1,0,0,0,0,0,0,0,0,0,0,531,81.9,273,306,89.2,201,237,84.8,31,65,47.7,0,1,0.9,-1,13,7,0,45,754,81,12,754,11,7,63.6,4,36.4,398,10,1,14,6,435,30,0,2,0,0,0.19,0,0,0,21.2,0,0,0,0,0,0.02,0,0,ENG,DF,28,10.7,7,3,1,8242,3114,33,United Kingdom
Antony,28,14,16,53.3,14,20,19,8,36,6,0,Manchester Utd,36,3.4,31,0,1,3,1,1,0.09,0,0,0,0,0,1,327,76.4,202,242,83.5,96,114,84.2,10,24,41.7,0,2.1,1.5,-2.1,16,19,2,49,583,12,42,583,52,17,32.7,26,50,406,37,16,19,16,421,114,0,26,5,19.2,2.46,0.47,0,0,19,0,0,0,1.5,1.5,0.06,-1.5,-1.5,BRA,FW,24,10.6,10,12,6,4338,1148,21,Brazil
Aaron Wan-Bissaka,25,19,16,72.7,6,14,6,20,45,38,1,Manchester Utd,10,1.02,9,1,0,0,0,1,0.1,1,0,0,0,0,0,437,82.8,278,314,88.5,136,155,87.7,13,25,52,1,1.2,1,-0.2,5,4,0,37,645,43,12,645,18,10,55.6,3,16.7,328,19,3,11,4,366,26,0,2,1,50,0.2,0.1,0,0,24.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,ENG,DF,26,9.8,12,11,2,5896,1873,26,United Kingdom
Christian Eriksen,14,12,8,29.6,19,14,9,3,17,10,0,Manchester Utd,32,3.25,25,5,0,0,2,2,0.2,1,0,0,0,0,1,489,79.6,249,283,88,180,218,82.6,42,77,54.5,1,1.8,1.9,-0.8,18,15,3,53,675,22,8,675,4,3,75,1,25,403,18,2,3,11,464,19,1,9,4,44.4,0.91,0.41,0.11,0.25,21.5,1,0,0,0.7,0.7,0.08,0.3,0.3,DEN,MF,32,9.9,4,7,3,8076,1996,52,Denmark
Sofyan Amrabat,23,15,16,64,9,12,9,5,28,12,2,Manchester Utd,8,1.13,8,0,0,0,0,0,0,0,0,0,0,0,0,398,86.3,147,171,86,194,216,89.8,47,55,85.5,0,0.2,0.2,-0.2,4,4,0,50,536,29,1,536,8,4,50,2,25,338,5,0,6,7,373,8,0,2,0,0,0.28,0,0,0,23.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,MAR,"MF,DF",27,7.1,14,7,2,7507,1957,45,Morocco
Lisandro Martínez,11,7,5,41.7,7,9,2,4,15,21,0,Manchester Utd,7,1.13,6,0,0,0,1,1,0.16,1,0,0,0,0,0,366,92.7,160,164,97.6,175,183,95.6,25,39,64.1,1,0.1,0.1,0.9,3,1,0,28,450,58,1,450,3,2,66.7,1,33.3,311,8,0,1,3,322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARG,DF,26,6.2,8,3,0,6231,1935,28,Argentina
Anthony Martial,4,1,1,100,0,4,4,0,4,3,0,Manchester Utd,11,2.21,9,0,0,1,0,1,0.2,0,0,0,0,1,0,109,78.4,70,80,87.5,25,33,75.8,1,2,50,0,0.2,0.2,-0.2,6,2,0,12,178,3,16,178,6,2,33.3,2,33.3,105,6,1,14,10,148,36,1,6,4,66.7,1.21,0.8,0.17,0.25,12.9,0,0,0,1.2,1.2,0.2,-0.2,-0.2,FRA,FW,28,5,1,1,2,1267,263,6,France
Sergio Reguilón,13,8,8,47.1,9,10,10,5,18,7,0,Manchester Utd,15,3.28,13,1,0,0,0,1,0.22,1,0,0,0,0,0,244,77.7,137,157,87.3,84,111,75.7,16,26,61.5,0,0.7,0.6,-0.7,8,4,2,27,378,8,9,378,11,3,27.3,4,36.4,184,11,2,8,1,217,38,0,4,0,0,0.87,0,0,0,18.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,ESP,DF,27,4.6,6,2,5,3669,1356,20,Spain
Mason Mount,16,10,3,25,9,5,4,3,19,1,0,Manchester Utd,17,3.83,10,2,2,1,2,0,0,0,0,0,0,0,0,130,79.8,81,94,86.2,28,36,77.8,9,15,60,0,0.2,0.3,-0.2,5,5,1,15,214,5,14,214,8,4,50,2,25,108,6,1,9,6,130,26,0,3,0,0,0.68,0,0,0,13.2,0,0,0,0.2,0.2,0.07,-0.2,-0.2,ENG,MF,25,4.4,4,7,5,1771,570,13,United Kingdom
Facundo Pellistri,5,3,1,33.3,2,7,6,1,6,5,0,Manchester Utd,3,1.57,2,0,0,1,0,1,0.52,1,0,0,0,0,0,60,75.9,47,53,88.7,11,17,64.7,0,0,0,1,0.1,0.4,0.9,1,2,0,6,117,5,13,117,11,5,45.5,4,36.4,74,6,4,4,4,79,31,0,4,2,50,2.09,1.05,0,0,11.5,0,0,0,0.7,0.7,0.18,-0.7,-0.7,URU,"FW,MF",22,1.9,4,1,0,675,146,4,Uruguay
Hannibal Mejbri,3,3,1,33.3,2,1,0,0,3,0,0,Manchester Utd,6,4.06,5,0,0,1,0,0,0,0,0,0,0,0,0,31,81.6,21,21,100,7,9,77.8,3,6,50,0,0.4,0.5,-0.4,2,1,0,6,59,2,3,59,5,2,40,1,20,35,2,0,7,4,34,10,1,1,1,100,0.68,0.68,1,1,28.7,0,0,0,0,0,0.03,1,1,TUN,"MF,FW",21,1.5,1,2,0,442,143,6,Tunisia
Willy Kambwala,1,0,1,50,1,1,0,0,1,4,0,Manchester Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,88.5,37,38,97.4,46,51,90.2,2,7,28.6,0,0,0,0,0,0,0,5,107,6,0,107,2,0,0,2,100,70,2,0,1,1,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FRA,DF,19,1.2,0,1,0,1508,470,3,France
Omari Forson,2,0,1,100,0,0,0,0,2,0,0,Manchester Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,88.5,14,14,100,7,9,77.8,0,0,0,1,0.2,0,0.8,2,1,0,2,32,0,1,32,1,0,0,1,100,23,1,0,1,0,24,2,0,1,0,0,1.36,0,0,0,21.6,0,0,0,0,0,0.03,0,0,ENG,FW,19,0.7,0,2,0,277,64,2,United Kingdom
Jadon Sancho,1,0,1,33.3,2,1,1,1,2,0,0,Manchester Utd,4,4.62,1,1,0,1,1,1,1.15,0,1,0,0,0,0,34,79.1,22,25,88,10,14,71.4,1,1,100,0,0.1,0.1,-0.1,1,2,0,4,51,4,6,51,7,3,42.9,3,42.9,38,10,5,0,2,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG,"FW,MF",24,0.9,1,0,0,446,116,2,United Kingdom
Amad Diallo,3,1,1,100,0,0,0,0,3,0,0,Manchester Utd,4,7.5,4,0,0,0,0,0,0,0,0,0,0,0,0,31,88.6,23,26,88.5,5,5,100,0,0,0,0,0.1,0.1,-0.1,1,0,0,1,41,0,7,41,3,1,33.3,1,33.3,21,2,1,1,0,27,9,0,1,1,100,1.87,1.87,0,0,14.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,CIV,FW,21,0.5,0,2,1,359,38,2,Ivory Coast
Donny van de Beek,0,0,0,0,0,1,1,0,0,0,0,Manchester Utd,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,1,100,0,0,0,0,0,0,0,0.1,0,-0.1,1,0,0,0,4,0,2,4,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,30,0,0,0,16.1,0,0,0,0,0,0.04,0,0,NED,DF,26,0,0,0,0,7,0,0,Netherlands
Daniel Gore,1,1,1,100,0,0,0,1,2,0,0,Manchester Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG,MF,19,0,0,1,0,0,0,0,United Kingdom
Jarrod Bowen,34,21,11,36.7,19,30,25,17,51,14,0,West Ham,69,2.47,49,5,5,3,2,10,0.36,8,0,0,1,0,1,406,69.6,242,291,83.2,116,150,77.3,23,48,47.9,3,4,3.3,-1,23,10,1,45,897,20,142,897,73,27,37,40,54.8,546,73,38,66,46,615,158,14,65,30,46.2,2.33,1.07,0.22,0.47,13.9,0,0,0,9.3,9.3,0.14,4.7,4.7,ENG,FW,27,28,12,11,11,5524,1481,25,United Kingdom
