Player,Tkl,TklW,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Team,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Cmp,Cmp%,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,PPA,CrsPA,PrgP,Touches,Def Pen,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,PrgC,CPA,Mis,Dis,Rec,PrgR,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Nation,Pos,Age,90s,Def 3rd,Mid 3rd,Att 3rd,TotDist,PrgDist,1/3,Country
Darwin Núñez,19,12,10,47.6,11,17,11,2,21,5,0,Liverpool,65,3.72,48,0,3,2,0,13,0.74,10,0,0,2,1,0,275,70.5,161,205,78.5,80,115,69.6,17,32,53.1,7,5.3,3.6,1.7,27,22,0,45,615,10,146,614,37,12,32.4,18,48.6,379,46,26,39,23,462,159,10,85,37,43.5,4.87,2.12,0.12,0.27,15,0,0,1,13.5,12.7,0.15,-3.5,-2.7,URU,FW,24,17.5,2,9,8,3849,851,19,Uruguay
Joe Gomez,38,24,24,44.4,30,21,18,14,52,42,2,Liverpool,39,2.42,33,0,1,2,0,4,0.25,4,0,0,0,0,0,886,82,395,443,89.2,405,476,85.1,73,112,65.2,1,0.9,0.6,0.1,18,11,4,78,1261,72,22,1261,30,14,46.7,11,36.7,713,35,3,23,7,787,84,0,14,1,7.1,0.87,0.06,0,0,18.8,0,0,0,0.6,0.6,0.04,-0.6,-0.6,ENG,DF,26,16.1,19,13,6,15369,4058,61,United Kingdom
Ibrahima Konaté,30,19,15,71.4,6,17,6,18,48,45,0,Liverpool,21,1.42,21,0,0,0,0,1,0.07,1,0,0,0,0,0,1048,88,422,463,91.1,534,568,94,75,124,60.5,0,0.4,0.5,-0.4,8,8,0,101,1324,80,12,1324,9,6,66.7,0,0,877,22,0,5,5,943,3,0,8,2,25,0.54,0.14,0,0,12.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,FRA,DF,24,14.8,18,11,1,18583,7605,115,France
Diogo Jota,23,13,10,45.5,12,8,7,6,29,4,0,Liverpool,44,3.78,34,0,5,3,0,13,1.12,7,0,4,1,1,0,270,73.4,172,212,81.1,80,100,80,11,16,68.8,3,2.9,1.7,0.1,20,11,0,31,548,8,93,548,36,14,38.9,18,50,321,48,19,39,17,391,99,9,36,17,47.2,3.09,1.46,0.25,0.53,12.5,0,0,0,4.4,4.4,0.12,4.6,4.6,POR,FW,27,11.6,6,13,4,3800,914,17,Portugal
Cody Gakpo,18,11,4,28.6,10,18,14,8,26,7,0,Liverpool,36,2.79,24,1,3,1,1,5,0.39,3,0,0,2,0,0,265,75.7,162,194,83.5,83,120,69.2,11,14,78.6,3,0.7,0.7,2.3,13,18,0,54,523,13,61,523,36,19,52.8,12,33.3,358,27,9,36,21,406,86,5,41,16,39,3.17,1.24,0.12,0.31,16,0,0,0,6,6,0.15,-1,-1,NED,"FW,MF",24,12.9,5,9,4,3647,1085,29,Netherlands
Wataru Endo,30,17,11,31.4,24,16,14,12,42,21,1,Liverpool,35,2.88,27,0,1,2,2,1,0.08,1,0,0,0,0,0,697,87.2,360,393,91.6,302,334,90.4,28,38,73.7,0,1.6,1.3,-1.6,12,15,2,59,929,29,7,929,6,2,33.3,3,50,547,6,1,18,14,660,15,1,8,2,25,0.66,0.16,0.13,0.5,23.2,0,0,0,0.3,0.3,0.04,0.7,0.7,JPN,MF,31,12.2,7,19,4,10969,3100,73,Japan
Curtis Jones,21,13,8,40,12,17,17,6,27,8,0,Liverpool,30,2.83,23,0,3,1,1,2,0.19,2,0,0,0,0,0,556,90.4,319,338,94.4,201,219,91.8,15,23,65.2,1,0.5,0.8,0.5,8,8,0,59,726,22,28,726,26,13,50,9,34.6,490,27,6,13,21,550,64,1,15,4,26.7,1.41,0.38,0.07,0.25,17,0,0,0,1.8,1.8,0.12,-0.8,-0.8,ENG,MF,23,10.6,12,7,2,8090,1707,52,United Kingdom
Andrew Robertson,26,18,18,69.2,8,10,7,9,35,30,0,Liverpool,46,3.88,23,22,0,1,0,2,0.17,1,1,0,0,0,0,754,81.3,362,389,93.1,310,361,85.9,71,139,51.1,1,2.7,2.1,-1.7,35,12,7,69,1029,50,17,1029,9,3,33.3,6,66.7,572,31,3,10,2,682,60,1,4,2,50,0.34,0.17,0.25,0.5,8.7,0,0,0,0.7,0.7,0.18,0.3,0.3,SCO,DF,30,11.8,17,7,2,12846,4177,59,United Kingdom
Ryan Gravenberch,20,9,7,33.3,14,14,13,11,31,11,0,Liverpool,30,3.2,24,0,1,0,0,0,0,0,0,0,0,0,0,306,82,195,226,86.3,91,102,89.2,7,8,87.5,0,0.8,0.9,-0.8,11,19,0,61,521,14,30,521,39,15,38.5,19,48.7,308,31,8,33,11,338,51,0,15,6,40,1.6,0.64,0,0,20.6,0,0,0,1.5,1.5,0.1,-1.5,-1.5,NED,MF,21,9.4,5,9,6,4162,1356,29,Netherlands
Joël Matip,12,6,8,66.7,4,16,4,9,21,43,0,Liverpool,8,0.92,8,0,0,0,0,1,0.12,1,0,0,0,0,0,494,87.6,198,216,91.7,257,287,89.5,33,47,70.2,0,0.1,0.1,-0.1,2,2,0,34,665,90,12,665,2,0,0,2,100,421,8,0,3,4,451,1,0,5,0,0,0.58,0,0,0,10.6,0,0,0,0.5,0.5,0.1,-0.5,-0.5,CMR,DF,32,8.7,7,4,1,8687,3066,27,Cameroon
Kostas Tsimikas,19,13,9,60,6,9,8,6,25,10,0,Liverpool,32,4.29,20,9,0,2,1,2,0.27,2,0,0,0,0,0,380,77.1,182,202,90.1,145,183,79.2,42,82,51.2,3,1,1.3,2,16,7,4,31,566,17,16,566,15,4,26.7,10,66.7,306,23,3,9,4,334,69,0,3,0,0,0.4,0,0,0,23.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,GRE,DF,27,7.5,9,6,4,6563,1706,16,Greece
Caoimhín Kelleher,0,0,0,0,0,0,0,0,0,3,1,Liverpool,1,0.14,1,0,0,0,0,0,0,0,0,0,0,0,0,247,76.7,76,76,100,121,123,98.4,50,120,41.7,0,0,0,0,0,0,0,1,334,196,0,334,0,0,0,0,0,259,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRL,GK,25,7,0,0,0,5634,3690,7,Ireland
Harvey Elliott,16,12,7,33.3,14,16,16,5,21,6,0,Liverpool,39,4.18,32,2,1,0,1,2,0.21,2,0,0,0,0,0,474,82.4,268,296,90.5,162,188,86.2,30,56,53.6,2,2.4,2.7,-0.4,21,24,5,72,669,6,38,669,11,7,63.6,4,36.4,418,30,7,10,8,495,64,2,29,9,31,3.11,0.97,0.07,0.22,22.9,1,0,0,1.3,1.3,0.05,0.7,0.7,ENG,"MF,FW",20,9.3,3,10,3,7302,1702,46,United Kingdom
Jarell Quansah,7,6,4,66.7,2,5,3,5,12,19,0,Liverpool,1,0.17,1,0,0,0,0,0,0,0,0,0,0,0,0,484,87.7,153,168,91.1,298,314,94.9,26,52,50,0,0,0,0,0,0,0,23,595,47,2,595,5,3,60,2,40,424,5,0,0,0,451,0,0,3,1,33.3,0.51,0.17,0,0,15.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,ENG,DF,21,5.9,6,1,0,8769,2834,22,United Kingdom
Conor Bradley,19,16,13,59.1,9,10,9,5,24,9,0,Liverpool,18,3.67,10,1,3,1,1,3,0.61,2,1,0,0,0,0,226,75.6,123,149,82.6,82,110,74.5,12,22,54.5,3,1.1,0.8,1.9,10,10,3,16,383,9,18,383,19,7,36.8,9,47.4,217,16,4,13,5,224,37,1,8,4,50,1.63,0.82,0.13,0.25,17.2,0,0,0,0.7,0.7,0.09,0.3,0.3,NIR,DF,20,4.9,10,7,2,3367,1053,12,United Kingdom
Bobby Clark,2,1,1,20,4,6,4,1,3,1,0,Liverpool,1,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,38,77.6,23,29,79.3,11,12,91.7,1,2,50,0,0,0,0,0,0,0,3,70,4,6,70,4,0,0,3,75,45,3,2,3,6,48,7,0,2,0,0,2.02,0,0,0,18.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,ENG,MF,19,1,1,1,0,465,64,3,United Kingdom
Ben Doak,0,0,0,0,0,0,0,0,0,0,0,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,4,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,4,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SCO,FW,18,0.2,0,0,0,45,8,0,United Kingdom
Jayden Danns,0,0,0,0,0,0,0,0,0,0,0,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,71.4,3,4,75,2,3,66.7,0,0,0,0,0,0,0,0,1,0,1,7,0,0,7,0,0,0,0,0,3,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG,FW,18,0.1,0,0,0,73,16,0,United Kingdom
Owen Beck,2,1,0,0,0,0,0,0,2,1,0,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75,2,3,66.7,1,1,100,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,1,0,0,1,100,4,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAL,DF,21,0.1,1,1,0,31,1,0,United Kingdom
Thiago Alcántara,0,0,0,0,0,0,0,0,0,0,0,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,70,3,3,100,3,4,75,1,2,50,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ESP,MF,32,0.1,0,0,0,130,30,0,Spain
James McConnell,0,0,0,0,0,1,1,1,1,0,0,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,83.3,2,2,100,3,3,100,0,0,0,0,0,0,0,0,0,0,1,10,0,0,10,1,0,0,0,0,5,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG,MF,19,0,0,0,0,93,29,0,United Kingdom
